time,dt,lb_EX_A,ub_EX_A,lb_EX_C,ub_EX_C,pEX_A,pEX_C,k_R4,ub_R1,A,C,dummy_S,D,EX_A,EX_C,R4,update__pEX_A,update__pEX_C,update__A,update__C,update__update_A,update__update_C,bounds__dt,bounds__lb_EX_A,bounds__ub_EX_A,bounds__lb_EX_C,bounds__ub_EX_C,bounds__lb_default,bounds__ub_R1,bounds__k1,bounds__A,bounds__C,fba__ub_R1,fba__zero,fba__ub_default,fba__lb_EX_A,fba__ub_EX_A,fba__lb_EX_C,fba__ub_EX_C,fba__A,fba__C,fba__B1,fba__B2,fba__R1,fba__R2,fba__R3,fba__EX_A,fba__EX_C
0.0,1.0,-10.0,1000.0,-0.0,1000.0,-1.0,1.0,0.1,1.0,10.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,1.0,10.0,0.0,-0.0,-0.0,1.0,-10.0,1000.0,-0.0,1000.0,-1000.0,1.0,-0.2,10.0,0.0,1.0,0.0,1000.0,-10.0,1000.0,-0.0,1000.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,1.0
1.0,1.0,-9.0,1000.0,-0.9516258198393291,1000.0,-1.0,1.0,0.1,0.8187307518822836,9.0,0.9516258198393291,0.0,0.04837418016067098,-1.0,1.0,0.0,-1.0,1.0,9.0,0.9516258198393291,0.0,0.0,1.0,-9.0,1000.0,-0.9516258198393291,1000.0,-1000.0,0.8187307518822836,-0.2,9.0,0.9516258198393291,0.8187307518822836,0.0,1000.0,-9.0,1000.0,-0.9516258198393291,1000.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,1.0
2.0,1.0,-8.181269249000001,1000.0,-1.6401919726808785,1000.0,-0.818730751,0.818730751,0.1,0.6703200385818999,8.181269249000001,1.6401919726808785,0.0,0.17853877831912157,-0.818730751,0.818730751,0.0,-0.818730751,0.818730751,8.181269249000001,1.6401919726808785,0.0,0.0,1.0,-8.181269249000001,1000.0,-1.6401919726808785,1000.0,-1000.0,0.6703200385818999,-0.2,8.181269249000001,1.6401919726808785,0.6703200385818999,0.0,1000.0,-8.181269249000001,1000.0,-1.6401919726808785,1000.0,0.0,0.0,0.0,0.0,0.818730751,0.818730751,0.818730751,-0.818730751,0.818730751
3.0,1.0,-7.510949211000002,1000.0,-2.1220009257064363,1000.0,-0.670320038,0.670320038,0.1,0.5488116261213957,7.510949211000002,2.1220009257064363,0.0,0.36704986329356365,-0.670320038,0.670320038,0.0,-0.670320038,0.670320038,7.510949211000002,2.1220009257064363,0.0,0.0,1.0,-7.510949211000002,1000.0,-2.1220009257064363,1000.0,-1000.0,0.5488116261213957,-0.2,7.510949211000002,2.1220009257064363,0.5488116261213957,0.0,1000.0,-7.510949211000002,1000.0,-2.1220009257064363,1000.0,0.0,0.0,0.0,0.0,0.670320038,0.670320038,0.670320038,-0.670320038,0.670320038
4.0,1.0,-6.962137585000002,1000.0,-2.442329152363235,1000.0,-0.548811626,0.548811626,0.1,0.44932895340560997,6.962137585000002,2.442329152363235,0.0,0.5955332626367649,-0.548811626,0.548811626,0.0,-0.548811626,0.548811626,6.962137585000002,2.442329152363235,0.0,0.0,1.0,-6.962137585000002,1000.0,-2.442329152363235,1000.0,-1000.0,0.44932895340560997,-0.2,6.962137585000002,2.442329152363235,0.44932895340560997,0.0,1000.0,-6.962137585000002,1000.0,-2.442329152363235,1000.0,0.0,0.0,0.0,0.0,0.548811626,0.548811626,0.548811626,-0.548811626,0.548811626
5.0,1.0,-6.5128086320000005,1000.0,-2.6375038375376896,1000.0,-0.449328953,0.449328953,0.1,0.36787943063618544,6.5128086320000005,2.6375038375376896,0.0,0.8496875304623108,-0.449328953,0.449328953,0.0,-0.449328953,0.449328953,6.5128086320000005,2.6375038375376896,0.0,0.0,1.0,-6.5128086320000005,1000.0,-2.6375038375376896,1000.0,-1000.0,0.36787943063618544,-0.2,6.5128086320000005,2.6375038375376896,0.36787943063618544,0.0,1000.0,-6.5128086320000005,1000.0,-2.6375038375376896,1000.0,0.0,0.0,0.0,0.0,0.449328953,0.449328953,0.449328953,-0.449328953,0.449328953
6.0,1.0,-6.144929202000001,1000.0,-2.736595726579379,1000.0,-0.36787943,0.36787943,0.1,0.3011942020160632,6.144929202000001,2.736595726579379,0.0,1.1184750714206209,-0.36787943,0.36787943,0.0,-0.36787943,0.36787943,6.144929202000001,2.736595726579379,0.0,0.0,1.0,-6.144929202000001,1000.0,-2.736595726579379,1000.0,-1000.0,0.3011942020160632,-0.2,6.144929202000001,2.736595726579379,0.3011942020160632,0.0,1000.0,-6.144929202000001,1000.0,-2.736595726579379,1000.0,0.0,0.0,0.0,0.0,0.36787943,0.36787943,0.36787943,-0.36787943,0.36787943
7.0,1.0,-5.843735000000001,1000.0,-2.762798390809722,1000.0,-0.301194202,0.301194202,0.1,0.24659695489669195,5.843735000000001,2.762798390809722,0.0,1.3934666091902783,-0.301194202,0.301194202,0.0,-0.301194202,0.301194202,5.843735000000001,2.762798390809722,0.0,0.0,1.0,-5.843735000000001,1000.0,-2.762798390809722,1000.0,-1000.0,0.24659695489669195,-0.2,5.843735000000001,2.762798390809722,0.24659695489669195,0.0,1000.0,-5.843735000000001,1000.0,-2.762798390809722,1000.0,0.0,0.0,0.0,0.0,0.301194202,0.301194202,0.301194202,-0.301194202,0.301194202
8.0,1.0,-5.597138045000001,1000.0,-2.7345513919026403,1000.0,-0.246596955,0.246596955,0.1,0.20189650987245467,5.597138045000001,2.7345513919026403,0.0,1.6683105630973603,-0.246596955,0.246596955,0.0,-0.246596955,0.246596955,5.597138045000001,2.7345513919026403,0.0,0.0,1.0,-5.597138045000001,1000.0,-2.7345513919026403,1000.0,-1000.0,0.20189650987245467,-0.2,5.597138045000001,2.7345513919026403,0.20189650987245467,0.0,1000.0,-5.597138045000001,1000.0,-2.7345513919026403,1000.0,0.0,0.0,0.0,0.0,0.246596955,0.246596955,0.246596955,-0.246596955,0.246596955
9.0,1.0,-5.395241535000001,1000.0,-2.6664543527145854,1000.0,-0.20189651,0.20189651,0.1,0.16529888101570028,5.395241535000001,2.6664543527145854,0.0,1.9383041122854154,-0.20189651,0.20189651,0.0,-0.20189651,0.20189651,5.395241535000001,2.6664543527145854,0.0,0.0,1.0,-5.395241535000001,1000.0,-2.6664543527145854,1000.0,-1000.0,0.16529888101570028,-0.2,5.395241535000001,2.6664543527145854,0.16529888101570028,0.0,1000.0,-5.395241535000001,1000.0,-2.6664543527145854,1000.0,0.0,0.0,0.0,0.0,0.20189651,0.20189651,0.20189651,-0.20189651,0.20189651
