time,dt,lb_EX_A,ub_EX_A,lb_EX_C,ub_EX_C,pEX_A,pEX_C,k_R4,ub_R1,A,C,dummy_S,D,EX_A,EX_C,R4,update__pEX_A,update__pEX_C,update__A,update__C,update__update_A,update__update_C,bounds__dt,bounds__lb_EX_A,bounds__ub_EX_A,bounds__lb_EX_C,bounds__ub_EX_C,bounds__lb_default,bounds__ub_R1,bounds__k1,bounds__A,bounds__C,fba__ub_R1,fba__zero,fba__ub_default,fba__lb_EX_A,fba__ub_EX_A,fba__lb_EX_C,fba__ub_EX_C,fba__A,fba__C,fba__B1,fba__B2,fba__R1,fba__R2,fba__R3,fba__EX_A,fba__EX_C
0.0,0.1,-100.0,1000.0,-0.0,1000.0,-1.0,1.0,0.1,1.0,10.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,1.0,10.0,0.0,-0.0,-0.0,0.1,-100.0,1000.0,-0.0,1000.0,-1000.0,1.0,-0.2,10.0,0.0,1.0,0.0,1000.0,-100.0,1000.0,-0.0,1000.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,1.0
1.0,0.1,-90.845600918,1000.0,-8.69720513186117,1000.0,-0.835270211,0.835270211,0.1,0.8187307530778676,9.0845600918,0.869720513186117,0.0,0.04571939501388282,-0.835270211,0.835270211,0.0,-0.835270211,0.835270211,9.0845600918,0.869720513186117,0.0,0.0,0.1,-90.845600918,1000.0,-8.69720513186117,1000.0,-1000.0,0.8187307530778676,-0.2,9.0845600918,0.869720513186117,0.8187307530778676,0.0,1000.0,-90.845600918,1000.0,-8.69720513186117,1000.0,0.0,0.0,0.0,0.0,0.835270211,0.835270211,0.835270211,-0.835270211,0.835270211
2.0,0.1,-83.33679794900002,1000.0,-15.00397201274117,1000.0,-0.697676326,0.697676326,0.1,0.6703200460354847,8.333679794900002,1.5003972012741171,0.0,0.16592300382588276,-0.697676326,0.697676326,0.0,-0.697676326,0.697676326,8.333679794900002,1.5003972012741171,0.0,0.0,0.1,-83.33679794900002,1000.0,-15.00397201274117,1000.0,-1000.0,0.6703200460354847,-0.2,8.333679794900002,1.5003972012741171,0.6703200460354847,0.0,1000.0,-83.33679794900002,1000.0,-15.00397201274117,1000.0,0.0,0.0,0.0,0.0,0.697676326,0.697676326,0.697676326,-0.697676326,0.697676326
3.0,0.1,-77.18911003800002,1000.0,-19.41732057217265,1000.0,-0.571209064,0.571209064,0.1,0.5488116360938602,7.718911003800002,1.9417320572172652,0.0,0.3393569389827349,-0.571209064,0.571209064,0.0,-0.571209064,0.571209064,7.718911003800002,1.9417320572172652,0.0,0.0,0.1,-77.18911003800002,1000.0,-19.41732057217265,1000.0,-1000.0,0.5488116360938602,-0.2,7.718911003800002,1.9417320572172652,0.5488116360938602,0.0,1000.0,-77.18911003800002,1000.0,-19.41732057217265,1000.0,0.0,0.0,0.0,0.0,0.571209064,0.571209064,0.571209064,-0.571209064,0.571209064
4.0,0.1,-72.15580888600003,1000.0,-22.35185985588439,1000.0,-0.467666427,0.467666427,0.1,0.449328964117058,7.2155808886000035,2.235185985588439,0.0,0.5492331258115609,-0.467666427,0.467666427,0.0,-0.467666427,0.467666427,7.2155808886000035,2.235185985588439,0.0,0.0,0.1,-72.15580888600003,1000.0,-22.35185985588439,1000.0,-1000.0,0.449328964117058,-0.2,7.2155808886000035,2.235185985588439,0.449328964117058,0.0,1000.0,-72.15580888600003,1000.0,-22.35185985588439,1000.0,0.0,0.0,0.0,0.0,0.467666427,0.467666427,0.467666427,-0.467666427,0.467666427
5.0,0.1,-68.04247223100006,1000.0,-24.132705331406815,1000.0,-0.375311099,0.375311099,0.1,0.367879441171289,6.804247223100006,2.4132705331406816,0.0,0.7824822437593167,-0.375311099,0.375311099,0.0,-0.375311099,0.375311099,6.804247223100006,2.4132705331406816,0.0,0.0,0.1,-68.04247223100006,1000.0,-24.132705331406815,1000.0,-1000.0,0.367879441171289,-0.2,6.804247223100006,2.4132705331406816,0.367879441171289,0.0,1000.0,-68.04247223100006,1000.0,-24.132705331406815,1000.0,0.0,0.0,0.0,0.0,0.375311099,0.375311099,0.375311099,-0.375311099,0.375311099
6.0,0.1,-64.67475701400008,1000.0,-25.035697744483045,1000.0,-0.307278738,0.307278738,0.1,0.3011942119120622,6.467475701400009,2.5035697744483048,0.0,1.028954524151691,-0.307278738,0.307278738,0.0,-0.307278738,0.307278738,6.467475701400009,2.5035697744483048,0.0,0.0,0.1,-64.67475701400008,1000.0,-25.035697744483045,1000.0,-1000.0,0.3011942119120622,-0.2,6.467475701400009,2.5035697744483048,0.3011942119120622,0.0,1000.0,-64.67475701400008,1000.0,-25.035697744483045,1000.0,0.0,0.0,0.0,0.0,0.307278738,0.307278738,0.307278738,-0.307278738,0.307278738
7.0,0.1,-61.91750499800013,1000.0,-25.272783950384817,1000.0,-0.251578553,0.251578553,0.1,0.24659696394148123,6.191750499800014,2.527278395038482,0.0,1.2809711051615111,-0.251578553,0.251578553,0.0,-0.251578553,0.251578553,6.191750499800014,2.527278395038482,0.0,0.0,0.1,-61.91750499800013,1000.0,-25.272783950384817,1000.0,-1000.0,0.24659696394148123,-0.2,6.191750499800014,2.527278395038482,0.24659696394148123,0.0,1000.0,-61.91750499800013,1000.0,-25.272783950384817,1000.0,0.0,0.0,0.0,0.0,0.251578553,0.251578553,0.251578553,-0.251578553,0.251578553
8.0,0.1,-59.66005797800016,1000.0,-25.012464956188083,1000.0,-0.205975098,0.205975098,0.1,0.20189651799454475,5.966005797800016,2.5012464956188083,0.0,1.5327477065811823,-0.205975098,0.205975098,0.0,-0.205975098,0.205975098,5.966005797800016,2.5012464956188083,0.0,0.0,0.1,-59.66005797800016,1000.0,-25.012464956188083,1000.0,-1000.0,0.20189651799454475,-0.2,5.966005797800016,2.5012464956188083,0.20189651799454475,0.0,1000.0,-59.66005797800016,1000.0,-25.012464956188083,1000.0,0.0,0.0,0.0,0.0,0.205975098,0.205975098,0.205975098,-0.205975098,0.205975098
9.0,0.1,-57.811816679000195,1000.0,-24.38814964210842,1000.0,-0.168638147,0.168638147,0.1,0.16529888822148978,5.78118166790002,2.438814964210842,0.0,1.7800033678891454,-0.168638147,0.168638147,0.0,-0.168638147,0.168638147,5.78118166790002,2.438814964210842,0.0,0.0,0.1,-57.811816679000195,1000.0,-24.38814964210842,1000.0,-1000.0,0.16529888822148978,-0.2,5.78118166790002,2.438814964210842,0.16529888822148978,0.0,1000.0,-57.811816679000195,1000.0,-24.38814964210842,1000.0,0.0,0.0,0.0,0.0,0.168638147,0.168638147,0.168638147,-0.168638147,0.168638147
10.0,0.1,-56.298604691000236,1000.0,-23.50494868929473,1000.0,-0.138069237,0.138069237,0.1,0.13533528323652858,5.629860469100024,2.350494868929473,0.0,2.0196446619705104,-0.138069237,0.138069237,0.0,-0.138069237,0.138069237,5.629860469100024,2.350494868929473,0.0,0.0,0.1,-56.298604691000236,1000.0,-23.50494868929473,1000.0,-1000.0,0.13533528323652858,-0.2,5.629860469100024,2.350494868929473,0.13533528323652858,0.0,1000.0,-56.298604691000236,1000.0,-23.50494868929473,1000.0,0.0,0.0,0.0,0.0,0.138069237,0.138069237,0.138069237,-0.138069237,0.138069237
11.0,0.1,-55.059691500000255,1000.0,-22.445195801404687,1000.0,-0.11304153,0.11304153,0.1,0.11080315836226134,5.505969150000026,2.244519580140469,0.0,2.2495112698595117,-0.11304153,0.11304153,0.0,-0.11304153,0.11304153,5.505969150000026,2.244519580140469,0.0,0.0,0.1,-55.059691500000255,1000.0,-22.445195801404687,1000.0,-1000.0,0.11080315836226134,-0.2,5.505969150000026,2.244519580140469,0.11080315836226134,0.0,1000.0,-55.059691500000255,1000.0,-22.445195801404687,1000.0,0.0,0.0,0.0,0.0,0.11304153,0.11304153,0.11304153,-0.11304153,0.11304153
12.0,0.1,-54.045355171000296,1000.0,-21.27293081167987,1000.0,-0.092550577,0.092550577,0.1,0.09071795328935016,5.4045355171000296,2.1272930811679873,0.0,2.46817140173199,-0.092550577,0.092550577,0.0,-0.092550577,0.092550577,5.4045355171000296,2.1272930811679873,0.0,0.0,0.1,-54.045355171000296,1000.0,-21.27293081167987,1000.0,-1000.0,0.09071795328935016,-0.2,5.4045355171000296,2.1272930811679873,0.09071795328935016,0.0,1000.0,-54.045355171000296,1000.0,-21.27293081167987,1000.0,0.0,0.0,0.0,0.0,0.092550577,0.092550577,0.092550577,-0.092550577,0.092550577
13.0,0.1,-53.21488682500033,1000.0,-20.03753643642913,1000.0,-0.075774004,0.075774004,0.1,0.07427357821428046,5.321488682500033,2.003753643642913,0.0,2.674757673857062,-0.075774004,0.075774004,0.0,-0.075774004,0.075774004,5.321488682500033,2.003753643642913,0.0,0.0,0.1,-53.21488682500033,1000.0,-20.03753643642913,1000.0,-1000.0,0.07427357821428046,-0.2,5.321488682500033,2.003753643642913,0.07427357821428046,0.0,1000.0,-53.21488682500033,1000.0,-20.03753643642913,1000.0,0.0,0.0,0.0,0.0,0.075774004,0.075774004,0.075774004,-0.075774004,0.075774004
14.0,0.1,-52.53495685000035,1000.0,-18.776685277368312,1000.0,-0.062038507,0.062038507,0.1,0.06081006262517236,5.253495685000035,1.8776685277368312,0.0,2.8688357872631425,-0.062038507,0.062038507,0.0,-0.062038507,0.062038507,5.253495685000035,1.8776685277368312,0.0,0.0,0.1,-52.53495685000035,1000.0,-18.776685277368312,1000.0,-1000.0,0.06081006262517236,-0.2,5.253495685000035,1.8776685277368312,0.06081006262517236,0.0,1000.0,-52.53495685000035,1000.0,-18.776685277368312,1000.0,0.0,0.0,0.0,0.0,0.062038507,0.062038507,0.062038507,-0.062038507,0.062038507
