,time,[Ac],[C1__Ac],[C1__Glcxt],[C1__O2],[C1__X],[Glcxt],[O2],[X],[dummy],C1__v1,C1__v2,C1__v3,C1__v4,C2__a_uptake,C2__g_uptake,C2__growth,C2__o_uptake,a_uptake,g_uptake,growth,o2_transport,o_uptake,C1__default_max,C1__default_min,C1__default_neg_min,C2__Km,C3__Km,C3__max_X,Km,X_max,X_min,a_rate_uptake,a_uptake_max,a_uptake_min,dt,g_rate_uptake,g_uptake_max,g_uptake_min,o_rate_uptake,o_uptake_max,o_uptake_min,x_rate_growth
0.1,0.1,0.39983791589154605,0.0,0.0,0.0,0.0,10.798944687597045,0.20887725010338312,0.0011156659022022244,0.0,0.03889825747229137,1.055616175578158,0.0,0.0,0.0017111618287520916,0.011141183643687613,0.0012211124324225857,0.016734988533033363,1.5337582921324489,9.986129020969374,1.0945144330504493,0.008420624224626527,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012060810232706717,0.015,1000.0,-1000.0,1.5337582921324489,1000.0,-1000.0,0.01,9.986129020969374,9.986129020969374,0.0,14.999999999999998,15.0,0.0,1.0945144330504493
0.11,0.11,0.3998207102861042,0.0,0.0,0.0,0.0,10.798832663820747,0.2087962511896048,0.0011279440972620225,0.0,0.03889826307942634,1.0556161603885508,0.0,0.0,0.001729993861613883,0.011263795121620944,0.0012345510833188505,0.016919161458930337,1.5337585132217806,9.986128877275691,1.0945144234679771,0.009028116077963999,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012073088331941793,0.015,1000.0,-1000.0,1.5337585132217806,1000.0,-1000.0,0.01,9.986128877275691,9.986128877275691,0.0,14.999999999999998,15.0,0.0,1.0945144234679771
0.12,0.12,0.3998033153259678,0.0,0.0,0.0,0.0,10.798719407195117,0.20871932074792954,0.0011403574169606121,0.0,0.03889826874838726,1.0556161450314583,0.0,0.0,0.0017490331512797581,0.011387755966256932,0.0012481376297241431,0.017105361254409177,1.5337587367489096,9.986128731997596,1.0945144137798455,0.00960509439052841,14.999999999999995,1000.0,0.0,-1000.0,0.001,0.015,0.012085501554759067,0.015,1000.0,-1000.0,1.5337587367489096,1000.0,-1000.0,0.01,9.986128731997596,9.986128731997596,0.0,14.999999999999995,15.0,0.0,1.0945144137798455
0.13,0.13,0.39978572892718484,0.0,0.0,0.0,0.0,10.798604904152386,0.208646145168886,0.001152907348376393,0.0,0.03889827447985742,1.0556161295050301,0.0,0.0,0.0017682819787819973,0.011513081027613616,0.0012618736992579848,0.017293610225645892,1.5337589627407782,9.986128585117585,1.0945144039848875,0.01015391123335499,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.01209805138822527,0.015,1000.0,-1000.0,1.5337589627407782,1000.0,-1000.0,0.01,9.986128585117585,9.986128585117585,0.0,14.999999999999998,15.0,0.0,1.0945144039848875
0.14,0.14,0.3997679489828677,0.0,0.0,0.0,0.0,10.798489140975452,0.2085764332872588,0.0011655953949533098,0.0,0.038898280274527255,1.0556161138073954,0.0,0.0,0.001787742650258718,0.011639785319134191,0.0012757609374520011,0.01748393092429965,1.5337591912246096,9.986128436617962,1.0945143940819226,0.0106767503455589,15.000000000000002,1000.0,0.0,-1000.0,0.001,0.015,0.012110739335772537,0.015,1000.0,-1000.0,1.5337591912246096,1000.0,-1000.0,0.01,9.986128436617962,9.986128436617962,0.0,15.000000000000002,15.0,0.0,1.0945143940819226
0.15,0.15,0.3997499733629414,0.0,0.0,0.0,0.0,10.798372103796257,0.20850991475788277,0.0011784230766810197,0.0,0.03889828613309468,1.055616097936663,0.0,0.0,0.0018074174972303324,0.011767884019486101,0.001289801007947115,0.017676346150215294,1.5337594222279232,9.986128286480833,1.0945143840697575,0.01117563931587913,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012123566917378596,0.015,1000.0,-1000.0,1.5337594222279232,1000.0,-1000.0,0.01,9.986128286480833,9.986128286480833,0.0,14.999999999999998,15.0,0.0,1.0945143840697575
0.16,0.16,0.39973179991388685,0.0,0.0,0.0,0.0,10.798253778594123,0.2084463385489149,0.00119139193027687,0.0,0.03889829205626591,1.0556160818909202,0.0,0.0,0.0018273088768788121,0.01189739247437822,0.001303995592692718,0.017870878954153045,1.5337596557785649,9.986128134688105,1.094514373947186,0.011652460883138233,14.999999999999995,1000.0,0.0,-1000.0,0.001,0.015,0.01213653566974873,0.015,1000.0,-1000.0,1.5337596557785649,1000.0,-1000.0,0.01,9.986128134688105,9.986128134688105,0.0,14.999999999999995,15.0,0.0,1.094514373947186
0.17,0.17,0.39971342645848457,0.0,0.0,0.0,0.0,10.798134151194077,0.2083854715439459,0.001204503509370318,0.0,0.038898298044755364,1.0556160656682325,0.0,0.0,0.0018474191723306557,0.012028326198402403,0.0013183463921485146,0.018067552640554773,1.533759891904704,9.98612798122148,1.094514363712988,0.012108963420405655,15.000000000000002,1000.0,0.0,-1000.0,0.001,0.015,0.012149647146500197,0.015,1000.0,-1000.0,1.533759891904704,1000.0,-1000.0,0.01,9.98612798122148,9.98612798122148,0.0,15.000000000000002,15.0,0.0,1.094514363712988
0.18,0.18,0.39969485079555184,0.0,0.0,0.0,0.0,10.79801320726513,0.2083270972449011,0.0012177593846886747,0.0,0.03889830409928403,1.0556160492666455,0.0,0.0,0.001867750792941818,0.012160700876888284,0.0013328551254878172,0.018266390770330123,1.5337601306347692,9.986127826062468,1.0945143533659296,0.01254677066324178,15.000000000000002,1000.0,0.0,-1000.0,0.001,0.015,0.01216290291834797,0.015,1000.0,-1000.0,1.5337601306347692,1000.0,-1000.0,0.01,9.986127826062468,9.986127826062468,0.0,15.000000000000002,15.0,0.0,1.0945143533659296
0.19,0.19,0.3996760706996803,0.0,0.0,0.0,0.0,10.797890932318603,0.20827101456892783,0.0012311611442455575,0.0,0.03889831022058198,1.0556160326841821,0.0,0.0,0.0018883061745869924,0.012294532367785093,0.001347523530803804,0.018467417163683365,1.5337603719975474,9.986127669192363,1.0945143429047641,0.012967390733041248,15.000000000000002,1000.0,0.0,-1000.0,0.001,0.015,0.0121763045732932,0.015,1000.0,-1000.0,1.5337603719975474,1000.0,-1000.0,0.01,9.986127669192363,9.986127669192363,0.0,15.000000000000002,15.0,0.0,1.0945143429047641
0.2,0.2,0.3996570839209703,0.0,0.0,0.0,0.0,10.79776731170636,0.20821703673188113,0.0012447103935304964,0.0,0.03889831640938698,1.0556160159188435,0.0,0.0,0.0019090877799504801,0.012429836703555007,0.0013623533653170402,0.01867065590295745,1.5337606160221284,9.98612751059226,1.0945143323282305,0.013372224510891442,15.000000000000002,1000.0,0.0,-1000.0,0.001,0.015,0.0121898537168128,0.015,1000.0,-1000.0,1.5337606160221284,1000.0,-1000.0,0.01,9.98612751059226,9.98612751059226,0.0,15.000000000000002,15.0,0.0,1.0945143323282305
0.21,0.21,0.3996378881847587,0.0,0.0,0.0,0.0,10.79764233061905,0.20816499021273324,0.0012584087557022902,0.0,0.03889832266644494,1.0556159989686085,0.0,0.0,0.001930098098822902,0.012566630093103947,0.0013773464055871038,0.018876131335534344,1.533760862737924,9.986127350243036,1.0945143216350535,0.013762573404500628,14.999999999999995,1000.0,0.0,-1000.0,0.001,0.015,0.012203551972052825,0.015,1000.0,-1000.0,1.533760862737924,1000.0,-1000.0,0.01,9.986127350243036,9.986127350243036,0.0,14.999999999999995,15.0,0.0,1.0945143216350535
