,time,[Ac],[Glcxt],[O2],[X],[dummy_S],[fba__Ac],[fba__Glcxt],[fba__O2],[fba__X],EX_Ac,EX_Glcxt,EX_O2,EX_X,fba__v1,fba__v2,fba__v3,fba__v4,update__update_Ac,update__update_Glcxt,update__update_O2,update__update_X,vO2_transfer,O2_ref,bounds__Km_EX_Glcxt,bounds__Vmax_EX_Glcxt,bounds__Vmax_EX_O2,bounds__lb_fba_EX_Ac,bounds__lb_fba_EX_Glcxt,bounds__lb_fba_EX_O2,bounds__lb_fba_EX_X,bounds__lb_kin_EX_Glcxt,bounds__lb_kin_EX_O2,dt,fba__ub_default,fba__zero,kLa,lb_EX_Ac,lb_EX_Glcxt,lb_EX_O2,lb_EX_X,pEX_Ac,pEX_Glcxt,pEX_O2,pEX_X,ub_EX_Ac,ub_EX_Glcxt,ub_EX_O2,ub_EX_X
0.1,0.1,0.39983787340054383,10.798944410942822,0.20887819161556348,0.0011156962244631833,0.0,0.0,0.0,0.0,0.0,-1.533758292678444,-9.986129020614511,-14.999999999999995,1.0945144330267844,0.03889825748613858,1.055616175540646,0.0,0.0,0.0017112083363804381,0.011141486445301836,0.016735443366947742,-0.001221145620548445,0.008413562883273842,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986129020614511,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986129020614511,-15.0,-10.0,-1.533758292678444,-9.986129020614511,-14.999999999999995,1.0945144330267844,1000.0,1000.0,1000.0,1000.0
0.11,0.11,0.39982066283906975,10.798832354898387,0.20879721124225678,0.0011279779562221963,0.0,0.0,0.0,0.0,0.0,-1.533758513831478,-9.986128876879429,-14.999999999999998,1.0945144234415516,0.03889826309488912,1.0556161603466625,0.0,0.0,0.0017300457937700238,0.011264133241113914,0.016919669343332944,-0.001234588142409317,0.009020915683074088,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986128876879429,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986128876879429,-15.0,-10.0,-1.533758513831478,-9.986128876879429,-14.999999999999998,1.0945144234415516,1000.0,1000.0,1000.0,1000.0
0.12,0.12,0.39980326281001305,10.798719065269639,0.208720290631404,0.0011403948931774353,0.0,0.0,0.0,0.0,0.0,-1.5337587374237522,-9.986128731558992,-14.999999999999995,1.0945144137505964,0.03889826876550221,1.0556161449850943,0.0,0.0,0.0017490906315243179,0.011388130208082334,0.017105923397661524,-0.0012481786479502746,0.009597820264470036,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986128731558992,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986128731558992,-15.0,-10.0,-1.5337587374237522,-9.986128731558992,-14.999999999999995,1.0945144137505964,1000.0,1000.0,1000.0,1000.0
0.13,0.13,0.3997856712286807,10.798604528483969,0.20864711724464677,0.0011529485229362173,0.0,0.0,0.0,0.0,0.0,-1.533758963482228,-9.986128584635688,-14.999999999999995,1.0945144039527512,0.03889827449866163,1.0556161294540896,0.0,0.0,0.0017683451314870185,0.011513492201506855,0.017294227844043254,-0.0012619187653697388,0.01014662066514918,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986128584635688,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986128584635688,-15.0,-10.0,-1.533758963482228,-9.986128584635688,-14.999999999999995,1.0945144039527512,1000.0,1000.0,1000.0,1000.0
0.14,0.14,0.3997678859873031,10.798488730818539,0.2085774008846841,0.0011656403495720173,0.0,0.0,0.0,0.0,0.0,-1.5337591920341442,-9.986128436091814,-14.999999999999998,1.0945143940468354,0.03889828029505819,1.0556161137517772,0.0,0.0,0.0017878116007619747,0.011640234241117124,0.017484605243580257,-0.0012758101408883579,0.010669493364869193,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986128436091814,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986128436091814,-15.0,-10.0,-1.5337591920341442,-9.986128436091814,-14.999999999999998,1.0945143940468354,1000.0,1000.0,1000.0,1000.0
0.15,0.15,0.39974990495479384,10.798371658398707,0.20851087207909003,0.0011784718937957767,0.0,0.0,0.0,0.0,0.0,-1.5337594231070348,-9.986128285909464,-14.999999999999995,1.0945143840316547,0.038898286155390184,1.0556160978762645,0.0,0.0,0.0018074923719760654,0.0117683715127833,0.017677078406936643,-0.0012898544389365022,0.011168459406824746,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986128285909464,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986128285909464,-15.0,-10.0,-1.5337594231070348,-9.986128285909464,-14.999999999999995,1.0945143840316547,1000.0,1000.0,1000.0,1000.0
0.16,0.16,0.3997317259765061,10.79825329719645,0.20844728058110085,0.0011914446931299782,0.0,0.0,0.0,0.0,0.0,-1.5337596567287612,-9.98612813407054,-14.999999999999995,1.0945143739060026,0.03889829208036422,1.0556160818256384,0.0,0.0,0.0018273898035463395,0.011897919370254317,0.017871670396949667,-0.0013040533423447874,0.011645395641743592,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.98612813407054,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.98612813407054,-15.0,-10.0,-1.5337596567287612,-9.98612813407054,-14.999999999999995,1.0945143739060026,1000.0,1000.0,1000.0,1000.0
0.17,0.17,0.39971334687398435,10.798133633028751,0.2083863939788606,0.0012045603020854933,0.0,0.0,0.0,0.0,0.0,-1.5337598929274776,-9.986127980556734,-14.99999999999999,1.0945143636686576,0.03889829807069434,1.0556160655979634,0.0,0.0,0.0018475062799513363,0.012028893336923816,0.018068404531282386,-0.0013184085525376297,0.012102045158545391,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986127980556734,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986127980556734,-15.0,-10.0,-1.5337598929274776,-9.986127980556734,-14.99999999999999,1.0945143636686576,1000.0,1000.0,1000.0,1000.0
0.18,0.18,0.3996947654447133,10.798012651555956,0.208327996405239,0.0012178202923411915,0.0,0.0,0.0,0.0,0.0,-1.5337601317316931,-9.986127825349541,-15.000000000000005,1.094514353318387,0.03889830412710355,1.0556160491912834,0.0,0.0,0.0018678442120067548,0.012161309107623685,0.01826730438511788,-0.0013329217897298281,0.012540026960707468,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986127825349541,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986127825349541,-15.0,-10.0,-1.5337601317316931,-9.986127825349541,-15.000000000000005,1.094514353318387,1000.0,1000.0,1000.0,1000.0
0.19,0.19,0.399675979461861,10.7978903382801,0.20827188734091645,0.0012312262529262925,0.0,0.0,0.0,0.0,0.0,-1.5337603731701406,-9.986127668430246,-14.99999999999999,1.0945143428539406,0.03889831025032058,1.05561603260362,0.0,0.0,0.0018884060371451043,0.012295182550444947,0.018468393793894373,-0.0013475947931261406,0.012960844943126562,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986127668430246,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986127668430246,-15.0,-10.0,-1.5337603731701406,-9.986127668430246,-14.99999999999999,1.0945143428539406,1000.0,1000.0,1000.0,1000.0
0.2,0.2,0.39965698667402094,10.797766678543237,0.20821788050396578,0.0012447797904054363,0.0,0.0,0.0,0.0,0.0,-1.5337606172719878,-9.98612750977993,-14.999999999999998,1.0945143322740587,0.03889831644108516,1.0556160158329735,0.0,0.0,0.0019091942196999376,0.012430529708585823,0.018671696856081544,-0.001362429321123849,0.013365896220256593,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.98612750977993,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.98612750977993,-15.0,-10.0,-1.5337606172719878,-9.98612750977993,-14.999999999999998,1.0945143322740587,1000.0,1000.0,1000.0,1000.0
0.21,0.21,0.3996377848049478,10.797641657525727,0.20816580281965658,0.0012584825290664467,0.0,0.0,0.0,0.0,0.0,-1.5337608640666438,-9.986127349379455,-14.999999999999995,1.094514321577464,0.03889832270014314,1.0556159988773208,0.0,0.0,0.0019302112511937284,0.012567366802226669,0.018877237935996695,-0.0013774271515182529,0.013756478852575624,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986127349379455,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986127349379455,-15.0,-10.0,-1.5337608640666438,-9.986127349379455,-14.999999999999995,1.094514321577464,1000.0,1000.0,1000.0,1000.0
0.22,0.22,0.39961837155329116,10.797515260244475,0.20811549346466593,0.001272336111110759,0.0,0.0,0.0,0.0,0.0,-1.533761113583891,-9.98612718720948,-14.999999999999998,1.094514310762867,0.038898329028249835,1.0556159817346171,0.0,0.0,0.001951459650630235,0.012705710230431532,0.019085041666661383,-0.001392590081711099,0.014133799015005472,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.98612718720948,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.98612718720948,-15.0,-10.0,-1.533761113583891,-9.98612718720948,-14.999999999999998,1.094514310762867,1000.0,1000.0,1000.0,1000.0
0.23,0.23,0.39959874459232436,10.797387471551195,0.20806680298030594,0.00128634219684648,0.0,0.0,0.0,0.0,0.0,-1.5337613658538072,-9.986127023250445,-14.999999999999998,1.0945142998289634,0.03889833542616807,1.0556159644027954,0.0,0.0,0.0019729419647906443,0.012845576573075978,0.0192951329526972,-0.0014079199289218757,0.014498977647705372,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986127023250445,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986127023250445,-15.0,-10.0,-1.5337613658538072,-9.986127023250445,-14.999999999999998,1.0945142998289634,1000.0,1000.0,1000.0,1000.0
0.24,0.24,0.3995789015696708,10.797258276130608,0.20801959244976934,0.0013005024648840614,0.0,0.0,0.0,0.0,0.0,-1.5337616209068299,-9.98612685748257,-14.999999999999998,1.0945142887744341,0.03889834189466979,1.0556159468797643,0.0,0.0,0.0019946607685339054,0.012986982592801009,0.01950753697326092,-0.001423418530401977,0.014853056626729921,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.98612685748257,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.98612685748257,-15.0,-10.0,-1.5337616209068299,-9.98612685748257,-14.999999999999998,1.0945142887744341,1000.0,1000.0,1000.0,1000.0
0.25,0.25,0.39955884010702564,10.79712765849864,0.2079737327347604,0.0013148186123345615,0.0,0.0,0.0,0.0,0.0,-1.5337618787737262,-9.986126689885861,-14.999999999999995,1.0945142775979455,0.03889834843453528,1.0556159291634102,0.0,0.0,0.0020166186651009205,0.013129945236992855,0.019722279185018416,-0.0014390877436516957,0.01519700448929684,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986126689885861,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986126689885861,-15.0,-10.0,-1.5337618787737262,-9.986126689885861,-14.999999999999995,1.0945142775979455,1000.0,1000.0,1000.0,1000.0
0.26,0.26,0.39953855779987457,10.796995603000605,0.20792910376721424,0.0013292923550104765,0.0,0.0,0.0,0.0,0.0,-1.5337621394856182,-9.986126520440095,-14.999999999999998,1.0945142662981493,0.03889835504655385,1.0556159112515955,0.0,0.0,0.0020388182864227444,0.013274481639788388,0.019939385325157145,-0.0014549294466400307,0.015531721745893137,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986126520440095,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986126520440095,-15.0,-10.0,-1.5337621394856182,-9.986126520440095,-14.999999999999998,1.0945142662981493,1000.0,1000.0,1000.0,1000.0
0.27,0.27,0.3995180522172084,10.796862093809313,0.20788559389212008,0.0013439254276291278,0.0,0.0,0.0,0.0,0.0,-1.5337624030739425,-9.986126349124829,-14.999999999999998,1.0945142548736824,0.038898361731522765,1.0556158931421595,0.0,0.0,0.002061262293432627,0.013420609124106087,0.020158881414436915,-0.0014709455380272898,0.015858045809099344,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986126349124829,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986126349124829,-15.0,-10.0,-1.5337624030739425,-9.986126349124829,-14.999999999999998,1.0945142548736824,1000.0,1000.0,1000.0,1000.0
0.28,0.28,0.39949732090123474,10.796727114923224,0.20784309925775468,0.0013587195840185937,0.0,0.0,0.0,0.0,0.0,-1.5337626695705187,-9.98612617591939,-14.999999999999995,1.0945142433231654,0.03889836849024902,1.0556158748329163,0.0,0.0,0.002083953376382103,0.013568345203702382,0.020380793760278897,-0.001487137937390477,0.016176755566839826,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.98612617591939,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.98612617591939,-15.0,-10.0,-1.5337626695705187,-9.98612617591939,-14.999999999999995,1.0945142433231654,1000.0,1000.0,1000.0,1000.0
0.29,0.29,0.3994763613670859,10.796590650164527,0.20780152324989815,0.0013736765973261754,0.0,0.0,0.0,0.0,0.0,-1.5337629390075036,-9.986126000802876,-14.999999999999995,1.0945142316452052,0.03889837532354815,1.055615856321657,0.0,0.0,0.002106894255160822,0.013717707585253343,0.020605148959892624,-0.0015035085854514588,0.01648857562576385,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986126000802876,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986126000802876,-15.0,-10.0,-1.5337629390075036,-9.986126000802876,-14.999999999999995,1.0945142316452052,1000.0,1000.0,1000.0,1000.0
0.3,0.3,0.39945517110252243,10.796452683177233,0.20776077596685427,0.001388798260229401,0.0,0.0,0.0,0.0,0.0,-1.5337632114174204,-9.986125823754156,-15.000000000000002,1.0945142198383926,0.038898382232245,1.0556158376061475,0.0,0.0,0.0021300876796203727,0.013868714170461666,0.02083197390344102,-0.0015200594443078998,0.016794180248592902,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986125823754156,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986125823754156,-15.0,-10.0,-1.5337632114174204,-9.986125823754156,-15.000000000000002,1.0945142198383926,1000.0,1000.0,1000.0,1000.0
0.31,0.31,0.39943374756763445,10.796313197425203,0.20772077373232725,0.0014040863851495539,0.0,0.0,0.0,0.0,0.0,-1.5337634868331331,-9.986125644751858,-14.999999999999998,1.0945142079013017,0.03889838921717304,1.0556158186841287,0.0,0.0,0.0021535364299019094,0.014021383058188895,0.021061295777243305,-0.001536792497666966,0.017094197007545553,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986125644751858,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986125644751858,-15.0,-10.0,-1.5337634868331331,-9.986125644751858,-14.999999999999998,1.0945142079013017,1000.0,1000.0,1000.0,1000.0
0.32,0.32,0.3994120881945388,10.796172176190199,0.2076814386434205,0.0014195428044677426,0.0,0.0,0.0,0.0,0.0,-1.5337637652878913,-9.986125463774377,-14.999999999999995,1.0945141958324922,0.03889839627917553,1.0556157995533166,0.0,0.0,0.0021772433167677775,0.014175732546613015,0.021293142067016133,-0.001553709751081812,0.017389210174346137,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986125463774377,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986125463774377,-15.0,-10.0,-1.5337637652878913,-9.986125463774377,-14.999999999999995,1.0945141958324922,1000.0,1000.0,1000.0,1000.0
0.33,0.33,0.39939019038707224,10.796029602569872,0.20764269815122055,0.0014351693707435056,0.0,0.0,0.0,0.0,0.0,-1.5337640468153146,-9.986125280799865,-14.999999999999995,1.0945141836305072,0.03889840341910512,1.0556157802114021,0.0,0.0,0.002201211181936948,0.014331781135411354,0.021527540561152577,-0.0015708132321908368,0.017679763865845813,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986125280799865,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986125280799865,-15.0,-10.0,-1.5337640468153146,-9.986125280799865,-14.999999999999995,1.0945141836305072,1000.0,1000.0,1000.0,1000.0
0.34,0.34,0.399368051520482,10.795885459475759,0.20760448467161333,0.0014509679569359693,0.0,0.0,0.0,0.0,0.0,-1.533764331449394,-9.986125095806234,-14.999999999999998,1.0945141712938737,0.038898410637823844,1.05561576065605,0.0,0.0,0.0022254428984243902,0.014489547527968981,0.021764519354039537,-0.0015881049909597376,0.017966364962899994,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986125095806234,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986125095806234,-15.0,-10.0,-1.533764331449394,-9.986125095806234,-14.999999999999998,1.0945141712938737,1000.0,1000.0,1000.0,1000.0
0.35000000000000003,0.35000000000000003,0.3993456689411115,10.795739729631235,0.20756673522414965,0.0014669404566275588,0.0,0.0,0.0,0.0,0.0,-1.5337646192244758,-9.98612490877115,-14.999999999999998,1.0945141588211023,0.03889841793620279,1.0556157408848994,0.0,0.0,0.0022499413708843463,0.014649050633612588,0.02200410684941338,-0.0016055870999263562,0.0182494858188776,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.98612490877115,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.98612490877115,-15.0,-10.0,-1.5337646192244758,-9.98612490877115,-14.999999999999998,1.0945141588211023,1000.0,1000.0,1000.0,1000.0
0.36,0.36,0.39932303996608387,10.795592395569445,0.20752939109693483,0.0014830887842502813,0.0,0.0,0.0,0.0,0.0,-1.5337649101753246,-9.986124719672024,-14.999999999999995,1.0945141462106862,0.03889842531512363,1.0556157208955625,0.0,0.0,0.002274709535957664,0.014810309569870062,0.02224633176375421,-0.0016232616544483412,0.018529566772988726,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986124719672024,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986124719672024,-15.0,-10.0,-1.5337649101753246,-9.986124719672024,-14.999999999999995,1.0945141462106862,1000.0,1000.0,1000.0,1000.0
0.37,0.37,0.3993001618829806,10.795443439631216,0.2074923975356639,0.0014994148753145978,0.0,0.0,0.0,0.0,0.0,-1.5337652043370633,-9.986124528486028,-14.999999999999995,1.0945141334611037,0.03889843277547713,1.0556157006856266,0.0,0.0,0.0022997503626229266,0.014973343664755926,0.02249122312971896,-0.001641130772953646,0.018807018482520713,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986124528486028,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986124528486028,-15.0,-10.0,-1.5337652043370633,-9.986124528486028,-14.999999999999995,1.0945141334611037,1000.0,1000.0,1000.0,1000.0
0.38,0.38,0.3992770319495173,10.795292843962955,0.2074557034550586,0.0015159206866408959,0.0,0.0,0.0,0.0,0.0,-1.5337655017452267,-9.986124335190071,-14.999999999999998,1.0945141205708147,0.038898440318164515,1.0556156802526502,0.0,0.0,0.002325066852551742,0.015138172459082692,0.022738810299613436,-0.0016591965971938657,0.019082224087060493,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986124335190071,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986124335190071,-15.0,-10.0,-1.5337655017452267,-9.986124335190071,-14.999999999999998,1.0945141205708147,1000.0,1000.0,1000.0,1000.0
0.39,0.39,0.39925364739321556,10.795140590514507,0.20741926117109036,0.0015326081965935812,0.0,0.0,0.0,0.0,0.0,-1.5337658024357292,-9.986124139760808,-15.000000000000002,1.0945141075382623,0.03889844794409661,1.0556156595941657,0.0,0.0,0.00235066204046793,0.01530481570879844,0.02298912294890372,-0.001677461292500449,0.01935554121682226,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986124139760808,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986124139760808,-15.0,-10.0,-1.5337658024357292,-9.986124139760808,-15.000000000000002,1.0945141075382623,1000.0,1000.0,1000.0,1000.0
