,time,[Ac],[Glcxt],[O2],[X],[dummy_S],[fba__Ac],[fba__Glcxt],[fba__O2],[fba__X],EX_Ac,EX_Glcxt,EX_O2,EX_X,fba__v1,fba__v2,fba__v3,fba__v4,update__update_Ac,update__update_Glcxt,update__update_O2,update__update_X,vO2_transfer,O2_ref,bounds__Km_EX_Glcxt,bounds__Vmax_EX_Glcxt,bounds__Vmax_EX_O2,bounds__lb_fba_EX_Ac,bounds__lb_fba_EX_Glcxt,bounds__lb_fba_EX_O2,bounds__lb_fba_EX_X,bounds__lb_kin_EX_Glcxt,bounds__lb_kin_EX_O2,dt,fba__ub_default,fba__zero,kLa,lb_EX_Ac,lb_EX_Glcxt,lb_EX_O2,lb_EX_X,pEX_Ac,pEX_Glcxt,pEX_O2,pEX_X,ub_EX_Ac,ub_EX_Glcxt,ub_EX_O2,ub_EX_X
0.0,0.0,0.4,10.8,0.21,0.001,0.0,0.0,0.0,0.0,0.0,-1.5337562096001602,-9.986130374479888,-14.999999999999998,1.0945145233117364,0.03889820465635709,1.0556163186553793,0.0,0.0,0.0015337562096001602,0.009986130374479889,0.014999999999999998,-0.0010945145233117364,0.0,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986130374479888,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986130374479888,-15.0,-10.0,-1.5337562096001602,-9.986130374479888,-14.999999999999998,1.0945145233117364,1000.0,1000.0,1000.0,1000.0
0.05,0.05,0.3999211683036177,10.799486734858654,0.20935588081368814,0.0010562556396171638,0.0,0.0,0.0,0.0,0.0,-1.533757222416511,-9.986129716215148,-14.999999999999998,1.0945144794141661,0.03889823034279764,1.0556162490713685,0.0,0.0,0.0016200397159809965,0.010547905830700798,0.015843834594257453,-0.0011560870915238572,0.0048308938973389,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986129716215148,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986129716215148,-15.0,-10.0,-1.533757222416511,-9.986129716215148,-14.999999999999998,1.0945144794141661,1000.0,1000.0,1000.0,1000.0
0.1,0.1,0.39983790078982245,10.798944588955928,0.2088768863491374,0.0011156767123800776,0.0,0.0,0.0,0.0,0.0,-1.5337582923271207,-9.986129020842847,-14.999999999999995,1.0945144330420116,0.038898257477228526,1.055616175564783,0.0,0.0,0.001711178409169204,0.011141291595377231,0.016735150685701156,-0.001221124264308856,0.008423352381469462,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986129020842847,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986129020842847,-15.0,-10.0,-1.5337582923271207,-9.986129020842847,-14.999999999999995,1.0945144330420116,1000.0,1000.0,1000.0,1000.0
0.15000000000000002,0.15000000000000002,0.39974994838135997,10.798371940642962,0.2085094672525109,0.0011784409568926966,0.0,0.0,0.0,0.0,0.0,-1.5337594225499451,-9.986128286271537,-14.999999999999998,1.0945143840558005,0.038898286141261604,1.0556160979145388,0.0,0.0,0.001807444921552947,0.011768062573327055,0.017676614353390446,-0.001289820578079538,0.011178995606168154,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986128286271537,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986128286271537,-15.0,-10.0,-1.5337594225499451,-9.986128286271537,-14.999999999999998,1.0945143840558005,1000.0,1000.0,1000.0,1000.0
0.2,0.2,0.3996570476111335,10.797767074589174,0.20821657262496343,0.0012447363796348665,0.0,0.0,0.0,0.0,0.0,-1.5337606164901916,-9.986127510288044,-14.999999999999995,1.0945143323079431,0.03889831642125771,1.0556160158866854,0.0,0.0,0.001909127636996542,0.012430096203728083,0.018671045694522992,-0.0013623818074554623,0.013375705312774211,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986127510288044,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986127510288044,-15.0,-10.0,-1.5337606164901916,-9.986127510288044,-14.999999999999995,1.0945143323079431,1000.0,1000.0,1000.0,1000.0
0.25,0.25,0.3995589201932728,10.797128178990683,0.2079726147084554,0.0013147615609351128,0.0,0.0,0.0,0.0,0.0,-1.5337618777461555,-9.986126690553718,-14.999999999999998,1.0945142776424828,0.03889834840847465,1.0556159292340082,0.0,0.0,0.002016531160488305,0.013129375515368198,0.01972142341402669,-0.001439025300138998,0.0152053896865844,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986126690553718,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986126690553718,-15.0,-10.0,-1.5337618777461555,-9.986126690553718,-14.999999999999998,1.0945142776424828,1000.0,1000.0,1000.0,1000.0
0.30000000000000004,0.30000000000000004,0.3994552721718615,10.796453340029005,0.20775987965637022,0.0013887262623206746,0.0,0.0,0.0,0.0,0.0,-1.5337632101204852,-9.986125824597083,-15.000000000000005,1.0945142198946047,0.03889838219935291,1.0556158376952518,0.0,0.0,0.002129977250075581,0.013867995191456673,0.020830893934810125,-0.0015199806416510634,0.016800902577223317,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986125824597083,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986125824597083,-15.0,-10.0,-1.5337632101204852,-9.986125824597083,-15.000000000000005,1.0945142198946047,1000.0,1000.0,1000.0,1000.0
0.35000000000000003,0.35000000000000003,0.3993457930264963,10.795740536048848,0.20756605919109491,0.00146685206465675,0.0,0.0,0.0,0.0,0.0,-1.5337646176320086,-9.986124909806149,-14.999999999999998,1.094514158890123,0.038898417895815586,1.0556157409943074,0.0,0.0,0.0022498057960709827,0.014648167941869352,0.022002780969851247,-0.001605490353764023,0.01825455606678808,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986124909806149,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986124909806149,-15.0,-10.0,-1.5337646176320086,-9.986124909806149,-14.999999999999998,1.094514158890123,1000.0,1000.0,1000.0,1000.0
0.4,0.4,0.3992301547417413,10.79498763150102,0.20738255299401567,0.0015493730320327037,0.0,0.0,0.0,0.0,0.0,-1.5337661045282052,-9.98612394342035,-15.000000000000002,1.0945140944449452,0.03889845560558471,1.0556156388393605,0.0,0.0,0.002376375839801854,0.015472231132471568,0.023240595480490556,-0.0016958106211126937,0.019630852544882393,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.98612394342035,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.98612394342035,-15.0,-10.0,-1.5337661045282052,-9.98612394342035,-15.000000000000002,1.0945140944449452,1000.0,1000.0,1000.0,1000.0
0.45,0.45,0.3991080108306187,10.7941923705862,0.20720330102210505,0.0016365364084299121,0.0,0.0,0.0,0.0,0.0,-1.5337676752980727,-9.986122922522114,-14.999999999999995,1.0945140263645068,0.03889849544250755,1.0556155309219992,0.0,0.0,0.0025100666426982037,0.016342653741763958,0.024548046126448675,-0.001791212053682732,0.020975242334212094,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986122922522114,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986122922522114,-15.0,-10.0,-1.5337676752980727,-9.986122922522114,-14.999999999999995,1.0945140263645068,1000.0,1000.0,1000.0,1000.0
0.5,0.5,0.3989789953024415,10.79335237053662,0.2070239803229928,0.0017286033540847088,0.0,0.0,0.0,0.0,0.0,-1.5337693346860592,-9.986121844027874,-15.000000000000002,1.0945139544431757,0.03889853752690995,1.0556154169162657,0.0,0.0,0.0026512788163305942,0.01726204371388516,0.025929050311270636,-0.0018919804927429917,0.022320147577553975,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986121844027874,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986121844027874,-15.0,-10.0,-1.5337693346860592,-9.986121844027874,-15.000000000000002,1.0945139544431757,1000.0,1000.0,1000.0,1000.0
0.55,0.55,0.3988427215700437,10.792465114503335,0.20684145253418112,0.0018258497250743283,0.0,0.0,0.0,0.0,0.0,-1.5337710877065482,-9.986120704678592,-14.999999999999998,1.0945138784636161,0.03889858198596369,1.0556152964776524,0.0,0.0,0.0028004355188159546,0.018233155743196467,0.02738774587611492,-0.00199841786408283,0.023689105993641504,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986120704678592,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986120704678592,-15.0,-10.0,-1.5337710877065482,-9.986120704678592,-14.999999999999998,1.0945138784636161,1000.0,1000.0,1000.0,1000.0
