time,a_rate_uptake,x_rate_growth,Km,dt,g_rate_uptake,g_uptake_max,o_rate_uptake,o_uptake_max,a_uptake_max,g_uptake_min,o_uptake_min,a_uptake_min,X_min,X_max,Cell,O2,Ac,Glcxt,dummy,X,growth,g_uptake,o_uptake,a_uptake,o2_transport,C3__max_ac,C3__max_glcxt,C3__max_o2,C3__dt,C3__Km,C3__X_min,C3__min_o2,C3__min_ac,C3__min_glxct,C3__X_max,C3__max_X,C3__rateOfX,C3__Glcxt,C3__Ac,C3__O2,C3__X,C2__rateOfX,C2__rateOfAc,C2__rateOfGlcxt,C2__rateOfO2,C2__Km,C2__Glcxt,C2__O2,C2__Ac,C2__X,C2__o_uptake,C2__g_uptake,C2__a_uptake,C2__growth,C1__a_uptake_max,C1__default_min,C1__default_max,C1__g_uptake_max,C1__o_uptake_max,C1__default_neg_min,C1__o_uptake_min,C1__g_uptake_min,C1__a_uptake_min,C1__X_min,C1__X_max,C1__Glcxt,C1__O2,C1__Ac,C1__X,C1__v1,C1__o_uptake,C1__growth,C1__v3,C1__v2,C1__g_uptake,C1__a_uptake,C1__v4
0.1,1.533758074,1.094514442,0.015,0.01,9.986129163,9.986129020969372,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20887725010213137,0.39983791589372875,10.798944687595581,0.0,0.0011156659022778506,1.094514442,9.986129163,15.0,1.533758074,0.0,1000.0,9.986129020969372,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012060810322277848,1.094514442,10.798944687595581,0.39983791589372875,0.20887725010213137,0.0011156659022778506,1.094514442,1.533758074,9.986129163,15.0,0.001,10.798944687595581,0.20887725010213137,0.39983791589372875,0.0011156659022778506,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986129020969372,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898252,15.0,1.094514442,1.0E-9,1.055616189,9.986129163,1.533758074,0.0
0.11,1.533758292,1.094514433,0.015,0.01,9.986129021,9.98612887727569,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20879625118831283,0.3998207102882876,10.798832663819269,0.0,0.0011279440973376957,1.094514433,9.986129021,15.0,1.533758292,0.0,1000.0,9.98612887727569,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012073088427337697,1.094514433,10.798832663819269,0.3998207102882876,0.20879625118831283,0.0011279440973376957,1.094514433,1.533758292,9.986129021,15.0,0.001,10.798832663819269,0.20879625118831283,0.3998207102882876,0.0011279440973376957,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.98612887727569,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898258,15.0,1.094514433,1.0E-9,1.055616174,9.986129021,1.533758292,0.0
0.12,1.533758513,1.094514423,0.015,0.01,9.986128877,9.986128731997594,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20871932074662708,0.39980331532815283,10.798719407193637,0.0,0.0011403574170315322,1.094514423,9.986128877,15.0,1.533758513,0.0,1000.0,9.986128731997594,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012085501647031531,1.094514423,10.798719407193637,0.39980331532815283,0.20871932074662708,0.0011403574170315322,1.094514423,1.533758513,9.986128877,15.0,0.001,10.798719407193637,0.20871932074662708,0.39980331532815283,0.0011403574170315322,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986128731997594,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898263,15.0,1.094514423,1.0E-9,1.055616159,9.986128877,1.533758513,0.0
0.13,1.533758737,1.094514414,0.015,0.01,9.986128732,9.986128585117584,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.2086461451675924,0.3997857289293662,10.798604904150897,0.0,0.0011529073484503182,1.094514414,9.986128732,15.0,1.533758737,0.0,1000.0,9.986128585117584,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012098051488450319,1.094514414,10.798604904150897,0.3997857289293662,0.2086461451675924,0.0011529073484503182,1.094514414,1.533758737,9.986128732,15.0,0.001,10.798604904150897,0.2086461451675924,0.3997857289293662,0.0011529073484503182,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986128585117584,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898269,15.0,1.094514414,1.0E-9,1.055616144,9.986128732,1.533758737,0.0
0.14,1.533758963,1.094514404,0.015,0.01,9.986128585,9.986128436617962,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.2085764332859573,0.39976794898504553,10.798489140973956,0.0,0.0011655953950278643,1.094514404,9.986128585,15.0,1.533758963,0.0,1000.0,9.986128436617962,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012110739435027867,1.094514404,10.798489140973956,0.39976794898504553,0.2085764332859573,0.0011655953950278643,1.094514404,1.533758963,9.986128585,15.0,0.001,10.798489140973956,0.2085764332859573,0.39976794898504553,0.0011655953950278643,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986128436617962,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898275,15.0,1.094514404,1.0E-9,1.055616128,9.986128585,1.533758963,0.0
0.15,1.533759191,1.094514394,0.015,0.01,9.986128436,9.986128286480833,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20850991475658148,0.3997499733651212,10.79837210379476,0.0,0.0011784230767550251,1.094514394,9.986128436,15.0,1.533759191,0.0,1000.0,9.986128286480833,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012123567016755024,1.094514394,10.79837210379476,0.3997499733651212,0.20850991475658148,0.0011784230767550251,1.094514394,1.533759191,9.986128436,15.0,0.001,10.79837210379476,0.20850991475658148,0.3997499733651212,0.0011784230767550251,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986128286480833,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.03889828,15.0,1.094514394,1.0E-9,1.055616113,9.986128436,1.533759191,0.0
0.16,1.533759422,1.094514384,0.015,0.01,9.986128286,9.986128134688101,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20844633854764194,0.3997317999160689,10.798253778592624,0.0,0.0011913919303505095,1.094514384,9.986128286,15.0,1.533759422,0.0,1000.0,9.986128134688101,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012136535770350511,1.094514384,10.798253778592624,0.3997317999160689,0.20844633854764194,0.0011913919303505095,1.094514384,1.533759422,9.986128286,15.0,0.001,10.798253778592624,0.20844633854764194,0.3997317999160689,0.0011913919303505095,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986128134688101,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898286,15.0,1.094514384,1.0E-9,1.055616097,9.986128286,1.533759422,0.0
0.17,1.533759656,1.094514374,0.015,0.01,9.986128135,9.986127981221479,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20838547154268908,0.3997134264606632,10.798134151192565,0.0,0.001204503509444974,1.094514374,9.986128135,15.0,1.533759656,0.0,1000.0,9.986127981221479,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012149647249444975,1.094514374,10.798134151192565,0.3997134264606632,0.20838547154268908,0.001204503509444974,1.094514374,1.533759656,9.986128135,15.0,0.001,10.798134151192565,0.20838547154268908,0.3997134264606632,0.001204503509444974,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986127981221479,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898292,15.0,1.094514374,1.0E-9,1.055616081,9.986128135,1.533759656,0.0
0.18,1.533759656,1.094514374,0.015,0.01,9.986128135,9.986127826062464,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.2083270972436779,0.39969485080058614,10.79801320726175,0.0,0.0012177593848889192,1.094514374,9.986128135,15.0,1.533759656,0.0,1000.0,9.986127826062464,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012162903124888921,1.094514374,10.79801320726175,0.39969485080058614,0.2083270972436779,0.0012177593848889192,1.094514374,1.533759656,9.986128135,15.0,0.001,10.79801320726175,0.2083270972436779,0.39969485080058614,0.0012177593848889192,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986127826062464,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898292,15.0,1.094514374,1.0E-9,1.055616081,9.986128135,1.533759656,0.0
0.19,1.533760131,1.094514353,0.015,0.01,9.986127826,9.98612766919236,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.2082710145677141,0.39967607070470834,10.797890932315212,0.0,0.0012311611444427823,1.094514353,9.986127826,15.0,1.533760131,0.0,1000.0,9.98612766919236,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012176304674442784,1.094514353,10.797890932315212,0.39967607070470834,0.2082710145677141,0.0012311611444427823,1.094514353,1.533760131,9.986127826,15.0,0.001,10.797890932315212,0.2082710145677141,0.39967607070470834,0.0012311611444427823,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.98612766919236,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898304,15.0,1.094514353,1.0E-9,1.055616048,9.986127826,1.533760131,0.0
0.2,1.533760372,1.094514343,0.015,0.01,9.986127669,9.986127510592256,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20821703673069572,0.3996570839259962,10.797767311702955,0.0,0.0012447103937304898,1.094514343,9.986127669,15.0,1.533760372,0.0,1000.0,9.986127510592256,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.01218985382373049,1.094514343,10.797767311702955,0.3996570839259962,0.20821703673069572,0.0012447103937304898,1.094514343,1.533760372,9.986127669,15.0,0.001,10.797767311702955,0.20821703673069572,0.3996570839259962,0.0012447103937304898,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986127510592256,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.03889831,15.0,1.094514343,1.0E-9,1.055616031,9.986127669,1.533760372,0.0
0.21,1.533760616,1.094514332,0.015,0.01,9.98612751,9.98612735024303,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20816499021157553,0.3996378881897828,10.797642330615636,0.0,0.001258408755899696,1.094514332,9.98612751,15.0,1.533760616,0.0,1000.0,9.98612735024303,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012203552075899696,1.094514332,10.797642330615636,0.3996378881897828,0.20816499021157553,0.001258408755899696,1.094514332,1.533760616,9.98612751,15.0,0.001,10.797642330615636,0.20816499021157553,0.3996378881897828,0.001258408755899696,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.98612735024303,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898316,15.0,1.094514332,1.0E-9,1.055616015,9.98612751,1.533760616,0.0
0.22,1.533760863,1.094514322,0.015,0.01,9.98612735,9.986127188125357,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20811471379145993,0.39961848119636695,10.79751597408092,0.0,0.0012722578719862026,1.094514322,9.98612735,15.0,1.533760863,0.0,1000.0,9.986127188125357,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012217401091986203,1.094514322,10.79751597408092,0.39961848119636695,0.20811471379145993,0.0012722578719862026,1.094514322,1.533760863,9.98612735,15.0,0.001,10.79751597408092,0.20811471379145993,0.39961848119636695,0.0012722578719862026,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986127188125357,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898323,15.0,1.094514322,1.0E-9,1.055615998,9.98612735,1.533760863,0.0
0.23,1.533761112,1.094514311,0.015,0.01,9.986127188,9.986127024219686,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20806605766210245,0.3995988606207501,10.797388226961711,0.0,0.0012862594010604829,1.094514311,9.986127188,15.0,1.533761112,0.0,1000.0,9.986127024219686,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012231402511060483,1.094514311,10.797388226961711,0.3995988606207501,0.20806605766210245,0.0012862594010604829,1.094514311,1.533761112,9.986127188,15.0,0.001,10.797388226961711,0.20806605766210245,0.3995988606207501,0.0012862594010604829,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986127024219686,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898329,15.0,1.094514311,1.0E-9,1.055615981,9.986127188,1.533761112,0.0
0.24,1.533761364,1.0945143,0.015,0.01,9.986127024,9.986126858506255,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20801888259878668,0.3995790241123329,10.79725907395433,0.0,0.001300415020464046,1.0945143,9.986127024,15.0,1.533761364,0.0,1000.0,9.986126858506255,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012245558020464046,1.0945143,10.79725907395433,0.3995790241123329,0.20801888259878668,0.001300415020464046,1.0945143,1.533761364,9.986127024,15.0,0.001,10.79725907395433,0.20801888259878668,0.3995790241123329,0.001300415020464046,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986126858506255,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898335,15.0,1.0945143,1.0E-9,1.055615963,9.986127024,1.533761364,0.0
0.25,1.533761619,1.094514289,0.015,0.01,9.986126858,9.986126690965083,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20797305919294304,0.39955896929464585,10.797128499586673,0.0,0.0013147264259979294,1.094514289,9.986126858,15.0,1.533761619,0.0,1000.0,9.986126690965083,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012259869315997929,1.094514289,10.797128499586673,0.39955896929464585,0.20797305919294304,0.0013147264259979294,1.094514289,1.533761619,9.986126858,15.0,0.001,10.797128499586673,0.20797305919294304,0.39955896929464585,0.0013147264259979294,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986126690965083,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898342,15.0,1.094514289,1.0E-9,1.055615946,9.986126858,1.533761619,0.0
0.26,1.533761877,1.094514278,0.015,0.01,9.986126691,9.986126521575965,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20792846714018584,0.3995386937650644,10.796996488216353,0.0,0.0013291953321258516,1.094514278,9.986126691,15.0,1.533761877,0.0,1000.0,9.986126521575965,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.01227433811212585,1.094514278,10.796996488216353,0.3995386937650644,0.20792846714018584,0.0013291953321258516,1.094514278,1.533761877,9.986126691,15.0,0.001,10.796996488216353,0.20792846714018584,0.3995386937650644,0.0013291953321258516,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986126521575965,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898348,15.0,1.094514278,1.0E-9,1.055615928,9.986126691,1.533761877,0.0
0.27,1.533762138,1.094514266,0.015,0.01,9.986126521,9.986126350318475,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20788499457976561,0.3995181950945215,10.79686302402886,0.0,0.0013438234721661587,1.094514266,9.986126521,15.0,1.533762138,0.0,1000.0,9.986126350318475,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012288966132166158,1.094514266,10.79686302402886,0.3995181950945215,0.20788499457976561,0.0013438234721661587,1.094514266,1.533762138,9.986126521,15.0,0.001,10.79686302402886,0.20788499457976561,0.3995181950945215,0.0013438234721661587,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986126350318475,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898355,15.0,1.094514266,1.0E-9,1.05561591,9.986126521,1.533762138,0.0
0.28,1.533762401,1.094514255,0.015,0.01,9.98612635,9.986126177171956,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20784253748171863,0.39949747082723,10.796728091035622,0.0,0.0013586125985394916,1.094514255,9.98612635,15.0,1.533762401,0.0,1000.0,9.986126177171956,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012303755148539491,1.094514255,10.796728091035622,0.39949747082723,0.20784253748171863,0.0013586125985394916,1.094514255,1.533762401,9.98612635,15.0,0.001,10.796728091035622,0.20784253748171863,0.39949747082723,0.0013586125985394916,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986126177171956,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898362,15.0,1.094514255,1.0E-9,1.055615892,9.98612635,1.533762401,0.0
