time,a_rate_uptake,x_rate_growth,Km,dt,g_rate_uptake,g_uptake_max,o_rate_uptake,o_uptake_max,a_uptake_max,g_uptake_min,o_uptake_min,a_uptake_min,X_min,X_max,Cell,O2,Ac,Glcxt,dummy,X,growth,g_uptake,o_uptake,a_uptake,o2_transport,C3__max_ac,C3__max_glcxt,C3__max_o2,C3__dt,C3__Km,C3__X_min,C3__min_o2,C3__min_ac,C3__min_glxct,C3__X_max,C3__max_X,C3__rateOfX,C3__Glcxt,C3__Ac,C3__O2,C3__X,C2__rateOfX,C2__rateOfAc,C2__rateOfGlcxt,C2__rateOfO2,C2__Km,C2__Glcxt,C2__O2,C2__Ac,C2__X,C2__o_uptake,C2__g_uptake,C2__a_uptake,C2__growth,C1__a_uptake_max,C1__default_min,C1__default_max,C1__g_uptake_max,C1__o_uptake_max,C1__default_neg_min,C1__o_uptake_min,C1__g_uptake_min,C1__a_uptake_min,C1__X_min,C1__X_max,C1__Glcxt,C1__O2,C1__Ac,C1__X,C1__v1,C1__o_uptake,C1__growth,C1__v3,C1__v2,C1__g_uptake,C1__a_uptake,C1__v4
0.0,1.53375621,1.094514523,0.015,0.01,9.986130374,9.986130374479888,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.21,0.4,10.8,0.0,0.001,1.094514523,9.986130374,15.0,1.53375621,0.0,1000.0,9.986130374479888,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.011945145229999999,1.094514523,10.8,0.4,0.21,0.001,1.094514523,1.53375621,9.986130374,15.0,0.001,10.8,0.21,0.4,0.001,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986130374479888,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898205,15.0,1.094514523,1.0E-9,1.055616317,9.986130374,1.53375621,0.0
0.01,1.53375621,1.094514523,0.015,0.01,9.986130374,9.986130245708804,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20985468328193743,0.3999845781949076,10.799899590198724,0.0,0.0010110052624624688,1.094514523,9.986130374,15.0,1.53375621,0.0,1000.0,9.986130245708804,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.011956150492462469,1.094514523,10.799899590198724,0.3999845781949076,0.20985468328193743,0.0010110052624624688,1.094514523,1.53375621,9.986130374,15.0,0.001,10.799899590198724,0.20985468328193743,0.3999845781949076,0.0010110052624624688,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986130245708804,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898205,15.0,1.094514523,1.0E-9,1.055616317,9.986130374,1.53375621,0.0
0.02,1.533756408,1.094514515,0.015,0.01,9.986130246,9.986130115518131,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20971826739470134,0.39996898666679037,10.799798075362533,0.0,0.001022131640645035,1.094514515,9.986130246,15.0,1.533756408,0.0,1000.0,9.986130115518131,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.011967276790645034,1.094514515,10.799798075362533,0.39996898666679037,0.20971826739470134,0.001022131640645035,1.094514515,1.533756408,9.986130246,15.0,0.001,10.799798075362533,0.20971826739470134,0.39996898666679037,0.001022131640645035,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986130115518131,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.03889821,15.0,1.094514515,1.0E-9,1.055616304,9.986130246,1.533756408,0.0
0.03,1.533756608,1.094514506,0.015,0.01,9.986130115,9.986129983892194,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20959009159514824,0.3999532235477605,10.799695443330286,0.0,0.0010333804674458528,1.094514506,9.986130115,15.0,1.533756608,0.0,1000.0,9.986129983892194,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.011978525527445855,1.094514506,10.799695443330286,0.3999532235477605,0.20959009159514824,0.0010333804674458528,1.094514506,1.533756608,9.986130115,15.0,0.001,10.799695443330286,0.20959009159514824,0.3999532235477605,0.0010333804674458528,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986129983892194,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898215,15.0,1.094514506,1.0E-9,1.05561629,9.986130115,1.533756608,0.0
0.04,1.533756811,1.094514497,0.015,0.01,9.986129984,9.986129850815141,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20946954268943765,0.3999372869493626,10.799591681806971,0.0,0.0010447530904420473,1.094514497,9.986129984,15.0,1.533756811,0.0,1000.0,9.986129850815141,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.011989898060442048,1.094514497,10.799591681806971,0.3999372869493626,0.20946954268943765,0.0010447530904420473,1.094514497,1.533756811,9.986129984,15.0,0.001,10.799591681806971,0.20946954268943765,0.3999372869493626,0.0010447530904420473,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986129850815141,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.03889822,15.0,1.094514497,1.0E-9,1.055616276,9.986129984,1.533756811,0.0
0.05,1.533757015,1.094514488,0.015,0.01,9.986129851,9.986129716270945,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.2093560515951528,0.3999211749623785,10.799486778362288,0.0,0.0010562508720411497,1.094514488,9.986129851,15.0,1.533757015,0.0,1000.0,9.986129716270945,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.01200139575204115,1.094514488,10.799486778362288,0.3999211749623785,0.2093560515951528,0.0010562508720411497,1.094514488,1.533757015,9.986129851,15.0,0.001,10.799486778362288,0.2093560515951528,0.3999211749623785,0.0010562508720411497,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986129716270945,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898225,15.0,1.094514488,1.0E-9,1.055616262,9.986129851,1.533757015,0.0
0.06,1.533757015,1.094514488,0.015,0.01,9.986129851,9.9861295802434,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20924909015180077,0.39990488565875454,10.7993807204277,0.0,0.0010678751897404179,1.094514488,9.986129851,15.0,1.533757015,0.0,1000.0,9.9861295802434,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012013020069740418,1.094514488,10.7993807204277,0.39990488565875454,0.20924909015180077,0.0010678751897404179,1.094514488,1.533757015,9.986129851,15.0,0.001,10.7993807204277,0.20924909015180077,0.39990488565875454,0.0010678751897404179,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.9861295802434,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898225,15.0,1.094514488,1.0E-9,1.055616262,9.986129851,1.533757015,0.0
0.07,1.533757432,1.09451447,0.015,0.01,9.98612958,9.98612944271613,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20914816816177223,0.39988841708259865,10.799273495300664,0.0,0.0010796274359084672,1.09451447,9.98612958,15.0,1.533757432,0.0,1000.0,9.98612944271613,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012024772135908468,1.09451447,10.799273495300664,0.39988841708259865,0.20914816816177223,0.0010796274359084672,1.09451447,1.533757432,9.98612958,15.0,0.001,10.799273495300664,0.20914816816177223,0.39988841708259865,0.0010796274359084672,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.98612944271613,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898236,15.0,1.09451447,1.0E-9,1.055616233,9.98612958,1.533757432,0.0
0.08,1.533757643,1.094514461,0.015,0.01,9.986129443,9.986129303672564,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20905283064507277,0.3998717672631588,10.79916509013451,0.0,0.0010915090185255865,1.094514461,9.986129443,15.0,1.533757643,0.0,1000.0,9.986129303672564,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012036653628525585,1.094514461,10.79916509013451,0.3998717672631588,0.20905283064507277,0.0010915090185255865,1.094514461,1.533757643,9.986129443,15.0,0.001,10.79916509013451,0.20905283064507277,0.3998717672631588,0.0010915090185255865,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986129303672564,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898241,15.0,1.094514461,1.0E-9,1.055616219,9.986129443,1.533757643,0.0
0.09,1.533757857,1.094514452,0.015,0.01,9.986129303,9.986129163095956,15.0,15.0,1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,1.0,0.20896265529238012,0.39985493420574864,10.79905549194266,0.0,0.001103521360971112,1.094514452,9.986129303,15.0,1.533757857,0.0,1000.0,9.986129163095956,15.0,0.01,0.015,-1000.0,0.0,-1000.0,0.0,1000.0,0.012048665880971114,1.094514452,10.79905549194266,0.39985493420574864,0.20896265529238012,0.001103521360971112,1.094514452,1.533757857,9.986129303,15.0,0.001,10.79905549194266,0.20896265529238012,0.39985493420574864,0.001103521360971112,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,9.986129163095956,15.0,-1000.0,0.0,0.0,-1000.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,0.038898246,15.0,1.094514452,1.0E-9,1.055616204,9.986129303,1.533757857,0.0
