time,dt,Cell,O2,Ac,Glcxt,dummy,X,C3__max_ac,C3__max_glcxt,C3__max_o2,C3__X_min,C3__min_o2,C3__min_ac,C3__min_glxct,C3__X_max,C3__max_X,C2__rateOfX,C2__rateOfAc,C2__rateOfGlcxt,C2__rateOfO2,C1__Glcxt,C1__O2,C1__Ac,C1__X
0.0,0.01,1.0,0.21,0.4,10.8,0.0,0.001,1000.0,9.986130374479888,15.0,-1000.0,0.0,-1000.0,0.0,1000.0,0.011945145229999999,1.094514523,1.53375621,9.986130374,15.0,0.0,0.0,0.0,0.0
0.01,0.01,1.0,0.20985468328193743,0.3999845781949076,10.799899590198724,0.0,0.0010110052624624688,1000.0,9.986130245708804,15.0,-1000.0,0.0,-1000.0,0.0,1000.0,0.011956150492462469,1.094514523,1.53375621,9.986130374,15.0,0.0,0.0,0.0,0.0
0.02,0.01,1.0,0.20971826739470134,0.39996898666679037,10.799798075362533,0.0,0.001022131640645035,1000.0,9.986130115518131,15.0,-1000.0,0.0,-1000.0,0.0,1000.0,0.011967276790645034,1.094514515,1.533756408,9.986130246,15.0,0.0,0.0,0.0,0.0
0.03,0.01,1.0,0.20959009159514824,0.3999532235477605,10.799695443330286,0.0,0.0010333804674458528,1000.0,9.986129983892194,15.0,-1000.0,0.0,-1000.0,0.0,1000.0,0.011978525527445855,1.094514506,1.533756608,9.986130115,15.0,0.0,0.0,0.0,0.0
0.04,0.01,1.0,0.20946954268943765,0.3999372869493626,10.799591681806971,0.0,0.0010447530904420473,1000.0,9.986129850815141,15.0,-1000.0,0.0,-1000.0,0.0,1000.0,0.011989898060442048,1.094514497,1.533756811,9.986129984,15.0,0.0,0.0,0.0,0.0
0.05,0.01,1.0,0.2093560515951528,0.3999211749623785,10.799486778362288,0.0,0.0010562508720411497,1000.0,9.986129716270945,15.0,-1000.0,0.0,-1000.0,0.0,1000.0,0.01200139575204115,1.094514488,1.533757015,9.986129851,15.0,0.0,0.0,0.0,0.0
0.06,0.01,1.0,0.20924909015180776,0.39990488565655685,10.799380720429138,0.0,0.001067875189644309,1000.0,9.986129580243404,15.0,-1000.0,0.0,-1000.0,0.0,1000.0,0.01201301997964431,1.094514479,1.533757222,9.986129716,15.0,0.0,0.0,0.0,0.0
0.07,0.01,1.0,0.2091481681617927,0.3998884170804024,10.79927349530211,0.0,0.0010796274358113008,1000.0,9.986129442716132,15.0,-1000.0,0.0,-1000.0,0.0,1000.0,0.012024772135811303,1.09451447,1.533757432,9.98612958,15.0,0.0,0.0,0.0,0.0
0.08,0.01,1.0,0.2090528306451059,0.3998717672609641,10.799165090135967,0.0,0.0010915090184273508,1000.0,9.986129303672566,15.0,-1000.0,0.0,-1000.0,0.0,1000.0,0.01203665362842735,1.094514461,1.533757643,9.986129443,15.0,0.0,0.0,0.0,0.0
0.09,0.01,1.0,0.20896265529242514,0.3998549342035554,10.799055491944127,0.0,0.0011035213608717954,1000.0,9.98612916309596,15.0,-1000.0,0.0,-1000.0,0.0,1000.0,0.012048665880871797,1.094514452,1.533757857,9.986129303,15.0,0.0,0.0,0.0,0.0
