	time	[adp]	[atp]	[dummy_S]	[fba__adp]	[fba__atp]	[fba__fru16bp]	[fba__glc]	[fba__pg2]	[fba__pyr]	[glc]	[pyr]	EX_adp	EX_atp	EX_glc	EX_pyr	fba__R1	fba__R2	fba__R3	update__update_adp	update__update_atp	update__update_glc	update__update_pyr	bounds__fbalb_EX_adp	bounds__fbalb_EX_atp	bounds__fbalb_EX_glc	bounds__fbalb_EX_pyr	dt	fba__ub_R3	fba__ub_default	fba__zero	lb_EX_adp	lb_EX_atp	lb_EX_glc	lb_EX_pyr	pEX_adp	pEX_atp	pEX_glc	pEX_pyr	ub_EX_adp	ub_EX_atp	ub_EX_glc	ub_EX_pyr
0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-50.0	0.0	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
100.0	100.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.95	0.1	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-49.5	-1.0	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
200.0	200.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9	0.19999999999999996	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-49.0	-1.9999999999999996	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
300.0	300.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8500000000000005	0.3	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-48.5	-2.9999999999999996	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
400.0	400.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.800000000000001	0.4	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-48.00000000000001	-4.0	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
500.0	500.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.750000000000001	0.5	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-47.50000000000001	-5.0	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
600.0	600.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.700000000000001	0.6000000000000001	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-47.00000000000001	-6.000000000000001	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
700.0	700.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.65	0.6999999999999997	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-46.5	-6.999999999999997	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
800.0	800.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6000000000000005	0.8	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-46.0	-8.0	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
900.0	900.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.550000000000001	0.9000000000000001	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-45.50000000000001	-9.0	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
1000.0	1000.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.500000000000001	1.0000000000000004	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-45.00000000000001	-10.000000000000004	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
1100.0	1100.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.450000000000001	1.1000000000000005	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-44.50000000000001	-11.000000000000005	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
1200.0	1200.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4	1.2000000000000008	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-44.0	-12.000000000000007	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
1300.0	1300.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3500000000000005	1.3000000000000007	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-43.5	-13.000000000000007	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
1400.0	1400.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.300000000000001	1.4000000000000006	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-43.00000000000001	-14.000000000000005	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
1500.0	1500.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.250000000000001	1.5000000000000004	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-42.50000000000001	-15.000000000000004	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
1600.0	1600.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.200000000000001	1.6000000000000005	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-42.00000000000001	-16.000000000000004	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
1700.0	1700.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.150000000000001	1.7000000000000006	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-41.50000000000001	-17.000000000000004	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
1800.0	1800.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.100000000000001	1.8000000000000007	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-41.000000000000014	-18.000000000000007	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
1900.0	1900.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.050000000000001	1.9000000000000008	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-40.50000000000001	-19.000000000000007	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
2000.0	2000.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.000000000000001	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-40.0	-20.000000000000007	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
2100.0	2100.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.95	2.100000000000001	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-39.5	-21.000000000000007	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
2200.0	2200.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.900000000000001	2.200000000000001	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-39.00000000000001	-22.00000000000001	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
2300.0	2300.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.85	2.300000000000001	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-38.5	-23.00000000000001	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
2400.0	2400.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8000000000000003	2.4000000000000017	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-38.0	-24.000000000000014	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
2500.0	2500.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75	2.5000000000000018	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-37.5	-25.000000000000018	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
2600.0	2600.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	2.6000000000000014	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-37.0	-26.000000000000014	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
2700.0	2700.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.65	2.700000000000001	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-36.5	-27.00000000000001	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
2800.0	2800.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	2.8000000000000016	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-36.0	-28.000000000000014	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
2900.0	2900.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5500000000000003	2.9000000000000017	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-35.5	-29.000000000000014	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
3000.0	3000.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	3.0000000000000018	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-35.0	-30.000000000000018	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
3100.0	3100.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45	3.100000000000002	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-34.5	-31.000000000000018	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
3200.0	3200.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4	3.200000000000001	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-34.0	-32.00000000000001	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
3300.0	3300.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3499999999999996	3.300000000000001	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-33.49999999999999	-33.00000000000001	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
3400.0	3400.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3	3.400000000000001	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-32.99999999999999	-34.00000000000001	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
