	time	[adp]	[atp]	[dummy_S]	[fba__adp]	[fba__atp]	[fba__fru16bp]	[fba__glc]	[fba__pg2]	[fba__pyr]	[glc]	[pyr]	EX_adp	EX_atp	EX_glc	EX_pyr	fba__R1	fba__R2	fba__R3	update__update_adp	update__update_atp	update__update_glc	update__update_pyr	bounds__fbalb_EX_adp	bounds__fbalb_EX_atp	bounds__fbalb_EX_glc	bounds__fbalb_EX_pyr	dt	fba__ub_R3	fba__ub_default	fba__zero	lb_EX_adp	lb_EX_atp	lb_EX_glc	lb_EX_pyr	pEX_adp	pEX_atp	pEX_glc	pEX_pyr	ub_EX_adp	ub_EX_atp	ub_EX_glc	ub_EX_pyr
3500.0	3500.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25	3.5000000000000004	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-32.5	-35.0	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
3600.0	3600.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1999999999999997	3.5999999999999996	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-31.999999999999996	-35.99999999999999	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
3700.0	3700.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15	3.6999999999999997	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-31.499999999999996	-36.99999999999999	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
3800.0	3800.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	3.8	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-31.0	-37.99999999999999	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
3900.0	3900.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.05	3.8999999999999995	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-30.499999999999996	-38.99999999999999	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
4000.0	4000.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.9999999999999996	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-30.0	-39.99999999999999	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
4100.0	4100.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9499999999999997	4.1	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-29.499999999999996	-40.99999999999999	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
4200.0	4200.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.899999999999999	4.200000000000001	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-28.99999999999999	-42.00000000000001	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
4300.0	4300.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8499999999999988	4.3000000000000025	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-28.499999999999986	-43.00000000000002	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
4400.0	4400.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.799999999999999	4.400000000000002	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-27.99999999999999	-44.00000000000002	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
4500.0	4500.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7499999999999982	4.5000000000000036	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-27.499999999999982	-45.000000000000036	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
4600.0	4600.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6999999999999975	4.600000000000005	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-26.999999999999975	-46.00000000000005	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
4700.0	4700.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6499999999999977	4.700000000000005	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-26.499999999999975	-47.00000000000004	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
4800.0	4800.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.599999999999998	4.800000000000004	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-25.99999999999998	-48.00000000000004	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
4900.0	4900.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.549999999999998	4.900000000000004	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-25.49999999999998	-49.000000000000036	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
5000.0	5000.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4999999999999982	5.0000000000000036	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-24.999999999999982	-50.000000000000036	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
5100.0	5100.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4499999999999975	5.100000000000005	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-24.499999999999975	-51.00000000000005	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
5200.0	5200.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3999999999999977	5.200000000000005	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-23.999999999999975	-52.00000000000004	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
5300.0	5300.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.349999999999998	5.300000000000005	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-23.49999999999998	-53.00000000000005	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
5400.0	5400.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.299999999999998	5.400000000000005	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-22.99999999999998	-54.00000000000004	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
5500.0	5500.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2499999999999982	5.500000000000005	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-22.499999999999982	-55.00000000000005	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
5600.0	5600.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.199999999999998	5.600000000000006	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-21.99999999999998	-56.00000000000006	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
5700.0	5700.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.149999999999998	5.7000000000000055	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-21.49999999999998	-57.00000000000005	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
5800.0	5800.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0999999999999988	5.800000000000005	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-20.999999999999986	-58.00000000000005	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
5900.0	5900.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0499999999999985	5.900000000000005	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-20.499999999999982	-59.00000000000004	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
6000.0	6000.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9999999999999982	6.000000000000005	0.0	0.0	-0.0005	0.001	0.0005	0.0005	0.001	0.0	0.0	0.0005	-0.001	-1000.0	-1000.0	-1000.0	-1000.0	0.1	0.001	1000.0	0.0	-10.0	-20.0	-19.999999999999982	-60.00000000000005	0.0	0.0	-0.0005	0.001	1000.0	1000.0	1000.0	1000.0
