time,dt,lb_EX_glc,ub_EX_glc,lb_EX_pyr,ub_EX_pyr,lb_EX_atp,ub_EX_atp,lb_EX_adp,ub_EX_adp,pEX_glc,pEX_pyr,pEX_atp,pEX_adp,Vmax_RATP,k_RATP,atp_tot,c3_tot,glc,pyr,atp,adp,dummy_S,EX_glc,EX_pyr,EX_atp,EX_adp,RATP,update__pEX_glc,update__pEX_pyr,update__pEX_atp,update__pEX_adp,update__glc,update__pyr,update__atp,update__adp,update__update_glc,update__update_pyr,update__update_atp,update__update_adp,bounds__dt,bounds__lb_EX_glc,bounds__ub_EX_glc,bounds__lb_EX_pyr,bounds__ub_EX_pyr,bounds__lb_EX_atp,bounds__ub_EX_atp,bounds__lb_EX_adp,bounds__ub_EX_adp,bounds__ub_EX_glc_fba,bounds__lb_EX_glc_fba,bounds__ub_EX_pyr_fba,bounds__lb_EX_pyr_fba,bounds__ub_EX_atp_fba,bounds__lb_EX_atp_fba,bounds__ub_EX_adp_fba,bounds__lb_EX_adp_fba,bounds__glc,bounds__pyr,bounds__atp,bounds__adp,fba__ub_R3,fba__zero,fba__ub_default,fba__lb_EX_atp,fba__ub_EX_atp,fba__lb_EX_adp,fba__ub_EX_adp,fba__lb_EX_glc,fba__ub_EX_glc,fba__lb_EX_pyr,fba__ub_EX_pyr,fba__atp,fba__adp,fba__glc,fba__pyr,fba__fru16bp,fba__pg2,fba__R1,fba__R2,fba__R3,fba__EX_atp,fba__EX_adp,fba__EX_glc,fba__EX_pyr
0.0,0.1,-50.0,1000.0,-0.0,1000.0,-20.0,1000.0,-10.0,1000.0,-0.5,1.0,1.0,-1.0,1.0,0.1,3.0,10.0,5.0,0.0,2.0,1.0,0.0,-0.5,1.0,1.0,-1.0,0.9523809523809523,-0.5,1.0,1.0,-1.0,5.0,0.0,2.0,1.0,-0.0,-0.0,-0.0,-0.0,0.1,-50.0,1000.0,-0.0,1000.0,-20.0,1000.0,-10.0,1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,5.0,0.0,2.0,1.0,1.0,0.0,1000.0,-20.0,1000.0,-10.0,1000.0,-50.0,1000.0,-0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,-1.0,-0.5,1.0
0.1,0.1,-49.5,1000.0,-1.0,1000.0,-20.047565179849187,1000.0,-9.952434820150811,1000.0,-0.5,1.0,1.0,-1.0,1.0,0.1,3.0,10.0,4.95,0.1,2.004756517984919,0.9952434820150812,0.0,-0.5,1.0,1.0,-1.0,0.9523809523809523,-0.5,1.0,1.0,-1.0,4.95,0.1,2.004756517984919,0.9952434820150812,0.0,0.0,0.0,0.0,0.1,-49.5,1000.0,-1.0,1000.0,-20.047565179849187,1000.0,-9.952434820150811,1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,4.95,0.1,2.004756517984919,0.9952434820150812,1.0,0.0,1000.0,-20.047565179849187,1000.0,-9.952434820150811,1000.0,-49.5,1000.0,-1.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,-1.0,-0.5,1.0
0.2,0.1,-49.0,1000.0,-2.0,1000.0,-20.095023109728984,1000.0,-9.904976890271012,1000.0,-0.5,1.0,1.0,-1.0,1.0,0.1,3.0,10.0,4.9,0.2,2.0095023109728984,0.9904976890271013,0.0,-0.5,1.0,1.0,-1.0,0.9523809523809523,-0.5,1.0,1.0,-1.0,4.9,0.2,2.0095023109728984,0.9904976890271013,0.0,0.0,0.0,0.0,0.1,-49.0,1000.0,-2.0,1000.0,-20.095023109728984,1000.0,-9.904976890271012,1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,4.9,0.2,2.0095023109728984,0.9904976890271013,1.0,0.0,1000.0,-20.095023109728984,1000.0,-9.904976890271012,1000.0,-49.0,1000.0,-2.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,-1.0,-0.5,1.0
0.3,0.1,-48.49999999999999,1000.0,-2.9999999999999996,1000.0,-20.142374511865974,1000.0,-9.857625488134024,1000.0,-0.5,1.0,1.0,-1.0,1.0,0.1,3.0,10.0,4.85,0.3,2.0142374511865975,0.9857625488134025,0.0,-0.5,1.0,1.0,-1.0,0.9523809523809523,-0.5,1.0,1.0,-1.0,4.85,0.3,2.0142374511865975,0.9857625488134025,0.0,0.0,0.0,0.0,0.1,-48.49999999999999,1000.0,-2.9999999999999996,1000.0,-20.142374511865974,1000.0,-9.857625488134024,1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,4.85,0.3,2.0142374511865975,0.9857625488134025,1.0,0.0,1000.0,-20.142374511865974,1000.0,-9.857625488134024,1000.0,-48.49999999999999,1000.0,-2.9999999999999996,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,-1.0,-0.5,1.0
0.4,0.1,-47.99999999999999,1000.0,-4.0,1000.0,-20.189620100417088,1000.0,-9.810379899582909,1000.0,-0.5,1.0,1.0,-1.0,1.0,0.1,3.0,10.0,4.8,0.4,2.018962010041709,0.981037989958291,0.0,-0.5,1.0,1.0,-1.0,0.9523809523809523,-0.5,1.0,1.0,-1.0,4.8,0.4,2.018962010041709,0.981037989958291,0.0,0.0,0.0,0.0,0.1,-47.99999999999999,1000.0,-4.0,1000.0,-20.189620100417088,1000.0,-9.810379899582909,1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,4.8,0.4,2.018962010041709,0.981037989958291,1.0,0.0,1000.0,-20.189620100417088,1000.0,-9.810379899582909,1000.0,-47.99999999999999,1000.0,-4.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,-1.0,-0.5,1.0
0.5,0.1,-47.5,1000.0,-5.0,1000.0,-20.2367605815953,1000.0,-9.763239418404698,1000.0,-0.5,1.0,1.0,-1.0,1.0,0.1,3.0,10.0,4.75,0.5,2.02367605815953,0.9763239418404699,0.0,-0.5,1.0,1.0,-1.0,0.9523809523809523,-0.5,1.0,1.0,-1.0,4.75,0.5,2.02367605815953,0.9763239418404699,0.0,0.0,0.0,0.0,0.1,-47.5,1000.0,-5.0,1000.0,-20.2367605815953,1000.0,-9.763239418404698,1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,4.75,0.5,2.02367605815953,0.9763239418404699,1.0,0.0,1000.0,-20.2367605815953,1000.0,-9.763239418404698,1000.0,-47.5,1000.0,-5.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,-1.0,-0.5,1.0
0.6,0.1,-46.99999999999999,1000.0,-5.999999999999999,1000.0,-20.283796653792756,1000.0,-9.716203346207237,1000.0,-0.5,1.0,1.0,-1.0,1.0,0.1,2.9999999999999996,9.999999999999998,4.699999999999999,0.6,2.028379665379276,0.9716203346207237,0.0,-0.5,1.0,1.0,-1.0,0.9523809523809523,-0.5,1.0,1.0,-1.0,4.699999999999999,0.6,2.028379665379276,0.9716203346207237,0.0,0.0,0.0,0.0,0.1,-46.99999999999999,1000.0,-5.999999999999999,1000.0,-20.283796653792756,1000.0,-9.716203346207237,1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,4.699999999999999,0.6,2.028379665379276,0.9716203346207237,1.0,0.0,1000.0,-20.283796653792756,1000.0,-9.716203346207237,1000.0,-46.99999999999999,1000.0,-5.999999999999999,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,-1.0,-0.5,1.0
0.7,0.1,-46.49999999999999,1000.0,-6.999999999999999,1000.0,-20.330729007701535,1000.0,-9.669270992298458,1000.0,-0.5,1.0,1.0,-1.0,1.0,0.1,2.9999999999999996,9.999999999999998,4.6499999999999995,0.7,2.033072900770154,0.9669270992298458,0.0,-0.5,1.0,1.0,-1.0,0.9523809523809523,-0.5,1.0,1.0,-1.0,4.6499999999999995,0.7,2.033072900770154,0.9669270992298458,0.0,0.0,0.0,0.0,0.1,-46.49999999999999,1000.0,-6.999999999999999,1000.0,-20.330729007701535,1000.0,-9.669270992298458,1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,4.6499999999999995,0.7,2.033072900770154,0.9669270992298458,1.0,0.0,1000.0,-20.330729007701535,1000.0,-9.669270992298458,1000.0,-46.49999999999999,1000.0,-6.999999999999999,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,-1.0,-0.5,1.0
0.8,0.1,-45.99999999999999,1000.0,-7.999999999999999,1000.0,-20.377558326431945,1000.0,-9.62244167356805,1000.0,-0.5,1.0,1.0,-1.0,1.0,0.1,2.9999999999999996,10.0,4.6,0.7999999999999999,2.0377558326431946,0.962244167356805,0.0,-0.5,1.0,1.0,-1.0,0.9523809523809523,-0.5,1.0,1.0,-1.0,4.6,0.7999999999999999,2.0377558326431946,0.962244167356805,0.0,0.0,0.0,0.0,0.1,-45.99999999999999,1000.0,-7.999999999999999,1000.0,-20.377558326431945,1000.0,-9.62244167356805,1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,4.6,0.7999999999999999,2.0377558326431946,0.962244167356805,1.0,0.0,1000.0,-20.377558326431945,1000.0,-9.62244167356805,1000.0,-45.99999999999999,1000.0,-7.999999999999999,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,-1.0,-0.5,1.0
0.9,0.1,-45.49999999999999,1000.0,-8.999999999999998,1000.0,-20.42428528562855,1000.0,-9.57571471437145,1000.0,-0.5,1.0,1.0,-1.0,1.0,0.1,3.0,10.0,4.55,0.8999999999999999,2.042428528562855,0.957571471437145,0.0,-0.5,1.0,1.0,-1.0,0.9523809523809523,-0.5,1.0,1.0,-1.0,4.55,0.8999999999999999,2.042428528562855,0.957571471437145,0.0,0.0,0.0,0.0,0.1,-45.49999999999999,1000.0,-8.999999999999998,1000.0,-20.42428528562855,1000.0,-9.57571471437145,1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,1000.0,-1000.0,4.55,0.8999999999999999,2.042428528562855,0.957571471437145,1.0,0.0,1000.0,-20.42428528562855,1000.0,-9.57571471437145,1000.0,-45.49999999999999,1000.0,-8.999999999999998,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,-1.0,-0.5,1.0
