	time	[adp]	[atp]	[dummy_S]	[fba__adp]	[fba__atp]	[fba__fru16bp]	[fba__glc]	[fba__pg2]	[fba__pyr]	[glc]	[pyr]	EX_adp	EX_atp	EX_glc	EX_pyr	RATP	fba__R1	fba__R2	fba__R3	update__update_adp	update__update_atp	update__update_glc	update__update_pyr	Vmax_RATP	atp_tot	bounds__lb_EX_adp_fba	bounds__lb_EX_atp_fba	bounds__lb_EX_glc_fba	bounds__lb_EX_pyr_fba	bounds__ub_EX_adp_fba	bounds__ub_EX_atp_fba	bounds__ub_EX_glc_fba	bounds__ub_EX_pyr_fba	c3_tot	dt	fba__ub_R3	fba__ub_default	fba__zero	k_RATP	lb_EX_adp	lb_EX_atp	lb_EX_glc	lb_EX_pyr	pEX_adp	pEX_atp	pEX_glc	pEX_pyr	ub_EX_adp	ub_EX_atp	ub_EX_glc	ub_EX_pyr
0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	-1.0	1.0	-0.5	1.0	0.9523809523809523	0.5	0.5	1.0	1.0	-1.0	0.5	-1.0	1.0	3.0	-1000.0	-1000.0	-1000.0	-1000.0	1000.0	1000.0	1000.0	1000.0	10.0	0.1	1.0	1000.0	0.0	0.1	-10.0	-20.0	-50.0	-0.0	-1.0	1.0	-0.5	1.0	1000.0	1000.0	1000.0	1000.0
0.1	0.1	0.9952434820151336	2.004756517984865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.950000000000004	0.1	-1.0	1.0	-0.5	1.0	0.9524885661854408	0.5	0.5	1.0	1.0	-1.0	0.5	-1.0	1.0	2.9999999999999987	-1000.0	-1000.0	-1000.0	-1000.0	1000.0	1000.0	1000.0	1000.0	10.000000000000007	0.1	1.0	1000.0	0.0	0.1	-9.952434820151336	-20.04756517984865	-49.500000000000036	-1.0	-1.0	1.0	-0.5	1.0	1000.0	1000.0	1000.0	1000.0
0.2	0.2	0.9904976890272098	2.0095023109727905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.899999999999999	0.2	-1.0	1.0	-0.5	1.0	0.9525954536859998	0.5	0.5	1.0	1.0	-1.0	0.5	-1.0	1.0	3.0000000000000004	-1000.0	-1000.0	-1000.0	-1000.0	1000.0	1000.0	1000.0	1000.0	9.999999999999996	0.1	1.0	1000.0	0.0	0.1	-9.904976890272097	-20.095023109727904	-48.999999999999986	-2.0	-1.0	1.0	-0.5	1.0	1000.0	1000.0	1000.0	1000.0
0.30000000000000004	0.30000000000000004	0.9857625488135624	2.014237451186438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.849999999999999	0.30000000000000004	-1.0	1.0	-0.5	1.0	0.9527016230159562	0.5	0.5	1.0	1.0	-1.0	0.5	-1.0	1.0	3.0000000000000004	-1000.0	-1000.0	-1000.0	-1000.0	1000.0	1000.0	1000.0	1000.0	9.999999999999998	0.1	1.0	1000.0	0.0	0.1	-9.857625488135623	-20.14237451186438	-48.499999999999986	-3.0000000000000004	-1.0	1.0	-0.5	1.0	1000.0	1000.0	1000.0	1000.0
0.4	0.4	0.9810379899584988	2.0189620100415024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8	0.4	-1.0	1.0	-0.5	1.0	0.9528070821816945	0.5	0.5	1.0	1.0	-1.0	0.5	-1.0	1.0	3.0000000000000013	-1000.0	-1000.0	-1000.0	-1000.0	1000.0	1000.0	1000.0	1000.0	10.0	0.1	1.0	1000.0	0.0	0.1	-9.810379899584987	-20.189620100415024	-47.99999999999999	-4.0	-1.0	1.0	-0.5	1.0	1000.0	1000.0	1000.0	1000.0
0.5	0.5	0.9763239418407229	2.0236760581592796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.75	0.5	-1.0	1.0	-0.5	1.0	0.9529118390651933	0.5	0.5	1.0	1.0	-1.0	0.5	-1.0	1.0	3.0000000000000027	-1000.0	-1000.0	-1000.0	-1000.0	1000.0	1000.0	1000.0	1000.0	10.0	0.1	1.0	1000.0	0.0	0.1	-9.76323941840723	-20.236760581592794	-47.5	-5.0	-1.0	1.0	-0.5	1.0	1000.0	1000.0	1000.0	1000.0
0.6000000000000001	0.6000000000000001	0.9716203346210197	2.0283796653789845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.699999999999999	0.6	-1.0	1.0	-0.5	1.0	0.9530159014264996	0.5	0.5	1.0	1.0	-1.0	0.5	-1.0	1.0	3.0000000000000044	-1000.0	-1000.0	-1000.0	-1000.0	1000.0	1000.0	1000.0	1000.0	9.999999999999998	0.1	1.0	1000.0	0.0	0.1	-9.716203346210197	-20.283796653789842	-46.99999999999999	-5.999999999999999	-1.0	1.0	-0.5	1.0	1000.0	1000.0	1000.0	1000.0
0.7000000000000001	0.7000000000000001	0.9669270992301823	2.0330729007698225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.650000000000004	0.7	-1.0	1.0	-0.5	1.0	0.9531192769061432	0.5	0.5	1.0	1.0	-1.0	0.5	-1.0	1.0	3.000000000000005	-1000.0	-1000.0	-1000.0	-1000.0	1000.0	1000.0	1000.0	1000.0	10.000000000000007	0.1	1.0	1000.0	0.0	0.1	-9.669270992301822	-20.330729007698224	-46.500000000000036	-6.999999999999999	-1.0	1.0	-0.5	1.0	1000.0	1000.0	1000.0	1000.0
0.8	0.8	0.9622441673571803	2.0377558326428247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.600000000000004	0.7999999999999999	-1.0	1.0	-0.5	1.0	0.953221973027493	0.5	0.5	1.0	1.0	-1.0	0.5	-1.0	1.0	3.000000000000005	-1000.0	-1000.0	-1000.0	-1000.0	1000.0	1000.0	1000.0	1000.0	10.000000000000009	0.1	1.0	1000.0	0.0	0.1	-9.622441673571803	-20.377558326428247	-46.000000000000036	-7.999999999999999	-1.0	1.0	-0.5	1.0	1000.0	1000.0	1000.0	1000.0
0.9	0.9	0.9575714714375576	2.042428528562449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.550000000000008	0.8999999999999999	-1.0	1.0	-0.5	1.0	0.9533239971990575	0.5	0.5	1.0	1.0	-1.0	0.5	-1.0	1.0	3.0000000000000067	-1000.0	-1000.0	-1000.0	-1000.0	1000.0	1000.0	1000.0	1000.0	10.000000000000016	0.1	1.0	1000.0	0.0	0.1	-9.575714714375575	-20.42428528562449	-45.50000000000008	-8.999999999999998	-1.0	1.0	-0.5	1.0	1000.0	1000.0	1000.0	1000.0
