time,lb_EX_pyr,ub_EX_pyr,lb_EX_glc,ub_EX_glc,lb_EX_adp,ub_EX_adp,lb_EX_atp,ub_EX_atp,pEX_pyr,pEX_glc,pEX_adp,pEX_atp,pyr,glc,adp,atp,dummy_S,bounds__fbalb_EX_pyr,bounds__fbalb_EX_glc,bounds__fbalb_EX_adp,bounds__fbalb_EX_atp,fba__atp,fba__adp,fba__glc,fba__pyr,fba__fru16bp,fba__pg2
0.0,-0.0,1000.0,-50.0,1000.0,-10.0,1000.0,-20.0,1000.0,0.001,-5.0E-4,-0.001,0.001,0.0,5.0,1.0,2.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,-1.0,1000.0,-49.5,1000.0,-9.952434820150811,1000.0,-20.047565179849187,1000.0,0.001,-5.0E-4,-0.001,0.001,0.1,4.95,0.9952434820150812,2.004756517984919,0.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,-2.0,1000.0,-49.0,1000.0,-9.904976890271012,1000.0,-20.095023109728988,1000.0,0.001,-5.0E-4,-0.001,0.001,0.2,4.9,0.9904976890271013,2.009502310972899,0.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,-3.0000000000000004,1000.0,-48.5,1000.0,-9.857625488134024,1000.0,-20.142374511865974,1000.0,0.001,-5.0E-4,-0.001,0.001,0.30000000000000004,4.8500000000000005,0.9857625488134024,2.0142374511865975,0.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0
400.0,-4.000000000000001,1000.0,-48.000000000000014,1000.0,-9.810379899582907,1000.0,-20.18962010041709,1000.0,0.001,-5.0E-4,-0.001,0.001,0.4000000000000001,4.800000000000002,0.9810379899582908,2.0189620100417094,0.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0
500.0,-5.000000000000001,1000.0,-47.50000000000001,1000.0,-9.763239418404696,1000.0,-20.23676058159531,1000.0,0.001,-5.0E-4,-0.001,0.001,0.5000000000000001,4.750000000000001,0.9763239418404697,2.023676058159531,0.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,-6.000000000000002,1000.0,-47.00000000000001,1000.0,-9.716203346207235,1000.0,-20.28379665379277,1000.0,0.001,-5.0E-4,-0.001,0.001,0.6000000000000002,4.700000000000001,0.9716203346207236,2.028379665379277,0.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0
700.0,-7.000000000000002,1000.0,-46.50000000000002,1000.0,-9.669270992298458,1000.0,-20.33072900770155,1000.0,0.001,-5.0E-4,-0.001,0.001,0.7000000000000002,4.650000000000002,0.9669270992298458,2.033072900770155,0.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0
800.0,-8.000000000000002,1000.0,-46.00000000000002,1000.0,-9.62244167356805,1000.0,-20.37755832643196,1000.0,0.001,-5.0E-4,-0.001,0.001,0.8000000000000002,4.600000000000002,0.962244167356805,2.037755832643196,0.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,-9.0,1000.0,-45.50000000000003,1000.0,-9.575714714371449,1000.0,-20.42428528562856,1000.0,0.001,-5.0E-4,-0.001,0.001,0.9000000000000001,4.550000000000003,0.9575714714371449,2.0424285285628563,0.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0
